input;actual;output
150 g snijbonen;150g snijbonen;150 g snijbonen
12 cl ananassap;12cl ananassap;120 ml ananassap
33 cl Rochefort 8;33cl Rochefort 8;330 ml Rochefort 8 bier
150 g gekookte ham (sneetjes);150g gekookte ham sneetjes;150 g gekookte hamsneetjes
Boni pizzasaus;Boni pizzasaus;700g tomatenpuree
500 g boterbonen (diepvries);500g boterbonen diepvries;500 g diepvries boterbonen
8 melkchocolade mignonettes;8 melkchocolade mignonettes;8 stuks melkchocolade mignonettes
40 g noordzeegarnalen (versmarkt);40g noordzeegarnalen versmarkt;40 g noordzeegarnalen
2 el pikante tapenade (versmarkt);2 el pikante tapenade versmarkt;2 el tapenade, pikant
300 g couscous;300g couscous;300 g couscous
1 kg shiitake;1kg shiitake;1 kg shiitakes
2 cl gin;2cl gin;2 cl gin
1 potje gefrituurde uitjes;1 potje gefrituurde uitjes;250 g gefrituurde uitjes
6 eetlepel appelmoes;6 eetlepels appelmoes;6 eetlepels appelmoes
2 voorgekookte kreeft;2 voorgekookte kreeft;2 stuks kreeften, voorgekookt
10 cl La Trappe Quadrupel;10cl La Trappe Quadrupel;1 fles (330 ml) La Trappe Quadrupel bier
4 koffiel tapenade van groene olijven (versmarkt);4 koffielepels tapenade van groene olijven versmarkt;4 tapenade van groene olijven
"1 wit toastbrood of gewoon wit brood; niet gesneden";1 wit toastbrood;1 brood, wit, ongesneden
2 dl Troubadour Magma;2dl Troubadour Magma;200 ml Troubadour Magma bier
120 ml kriekbier;120ml kriekbier;120 ml kriekbier
2 dl visfond (bokaal);200ml visfond bokaal;2 dl visfond
1 blik artisjokharten;1 blik artisjokharten;1 blik artisjokharten
8 blaadje waterkers;8 blaadjes waterkers;8 blaadjes waterkers
4 cordon bleu (beenhouwerij);4 cordon bleu beenhouwerij;4 stuks cordon bleu
150 g lichtbruine rietsuiker;150g lichtbruine rietsuiker;150 g rietsuiker, lichtbruin
1 eetlepel vanillesuiker;1 eetlepel vanillesuiker;1 eetlepel vanillesuiker
6 platte oesters;6 platte oesters;6 stuks platte oesters
40 g ananasstukjes op sap (blik);40g ananasstukjes op sap in blik;40 g ananasstukjes op sap
0.5 kastanjepompoenen;0.5 kastanjepompoenen;500g kastanjepompoen
400 g rundgehakt;400g rundgehakt;400 g rundgehakt
1 kg penne;1kg penne;1 kg penne
2 bokalen tomatenvlees met groenten (bokaal);2 bokalen tomatenvlees met groenten in bokaal;2 bokalen tomatenvlees met groenten
4 visbrochettes (diepvries);4 visbrochettes diepvries;4 visbrochettes (diepvries)
250 g gedroogde pruimen;250g gedroogde pruimen;250 g gedroogde pruimen
4 sneetjes pandaworsten;4 sneetjes pandaworsten;4 stuks pandaworsten
2 Ruby chocoladetruffels;2 Ruby chocoladetruffels;2 stuks chocoladetruffels
"40 g groene olijven; ontpit";"40g groene olijven; ontpit";40 g groene olijven, ontpit
250 g volkoren bloem;250g volkoren bloem;250 g volkoren bloem
400 g schelvisfilet;400g schelvisfilet;400 g schelvisfilet
1 rietsuiker naar smaak;1 rietsuiker;1 rietsuiker
15 g passievruchtensiroop ();15g passievruchtensiroop;15 g passievruchtensiroop
1.2 zakje bakpoeder;1.2 zakjes bakpoeder;12 gram bakpoeder
4 eetl gojibes;4 eetl gojibes;4 eetlepels gojibessen
0.5 kg ganzenvet;0.5kg ganzenvet;500g ganzenvet
3 cl vermout;3cl vermout;3 cl vermout
12 verpakking groene asperges;12 verpakkingen groene asperges;12 bossen groene asperges
20 crackers met olijven;20 crackers met olijven;20 stuks crackers met olijven
2 blik rode bonen;2 blikken rode bonen;2 blikken rode bonen
5 kg pruimen;5kg pruimen;5 kg pruimen
1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel
400 g pasta bv farfalle of penne;400g pasta;400 g pasta (farfalle of penne)
0.5 koffielepel zachte mosterd;0.5 koffielepel zachte mosterd;0,5 koffielepel zachte mosterd
"10 zongedroogde tomaten (versmarkt; tomatenmarinade) met basilicum";10 zongedroogde tomaten versmarkt tomatenmarinade met basilicum;10 stuks zongedroogde tomaten in tomatenmarinade met basilicum
vers stokbrood;vers stokbrood;1 stuk stokbrood
3 blokjes vetarme groentebouillon;3 blokjes vetarme groentebouillon;3 bouillonblokjes, vetarm, groente
4 stukken prei;4 stukken prei;4 stukken prei
Spar garnalen;Spar garnalen;500g garnalen, gepeld en ontdoornd
150 g blonde basterdsuiker;150g blonde basterdsuiker;150 g basterdsuiker
3 varkenssneden (beenhouwerij);3 varkenssneden beenhouwerij;3 varkenssneden
50 ml Smeets extra;50ml Smeets extra;50 ml olijfolie extra vierge
5 mastellen;5 mastellen;5 stelen masteluin
ijsblokjes facultatief;ijsblokjes;300g ijsblokjes (facultatief)
4 eetlepel tomatenstukjes (blik);4 eetlepels tomatenstukjes in blik;400 g tomatenstukjes (blik)
12 zwarte olijf zonder pit;12 zwarte olijven zonder pit;12 stuks zwarte olijven, ontpit
8 verse korianderblaadjes;8 verse korianderblaadjes;8 stuks verse korianderblaadjes
gegaarde witlofstronkjes;gegaarde witlofstronkjes;1 stuk witlof, gegaard
2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder;2,5 eetlepel sumakpoeder
4 eetlepels muntsiroop;4 eetlepels muntsiroop;4 eetlepels muntsiroop
1 geitenkaas stronkje;1 geitenkaas stronkje;1 stuk geitenkaas
420 g mini-krielaardappelen met marinade;420g mini-krielaardappelen met marinade;420 g mini-krielaardappelen, gemarineerd
1 kop quinoa;1 kop quinoa;1 kop quinoa
6 grote vastkokende aardappelen;6 grote vastkokende aardappelen;6 aardappelen, vastkokend, groot
Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit;500g witte chocolade
1 verpakkingen waterkers;1 verpakking waterkers;1 verpakking waterkers
0.25 venkels;0.25 venkels;250 gram venkel
0.5 kl kruidnagel;0.5kl kruidnagel;500 gram kruidnagel
3 wittewijnazijn;3 wittewijnazijn;3 wittewijnazijn
5 wittewijnazijn;5 wittewijnazijn;5 wittewijnazijn
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;18 stuks halfgedroogde kerstomaten in olie
1.5 koppen rijst;1.5 koppen rijst;1,5 kop rijst
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetlepels zachte mosterd
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;0,5 bosjes verse peterselie
250 g pruimtomaten kleine;250g pruimtomaten;250 g pruimtomaten, klein
bloemkolen;1 bloemkool;1 bloemkool
4 Boni bio citroenen;4 Boni bio citroenen;4 citroenen, biologisch
0.5 schaaltje waterkers;0.5 schaaltje waterkers;0,5 schaaltje waterkers
5 eieren;5 eieren;5 eieren
babypeertjes (bokaal);babypeertjes (bokaal);1 bokaal babypeertjes
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes
15 witte asperge;15 witte asperges;15 stuks asperges, wit
6 stengel bleekselder;6 stengels bleekselder;6 stengels bleekselder
80 g mango;80g mango;80 g mango
125 ml zure room;125ml zure room;125 ml zure room
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;1 eetlepel olijfolie extra vierge
70 g fijne suiker;70g fijne suiker;70 g fijne suiker
1 dl runderfond (bokaal);1 dl runderfond in bokaal;100 ml runderfond
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;110 g halfgedroogde tomaten
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600 g Alaska pollakfilet (diepvries)
2 belgica-appelen;2 belgica-appelen;2 appelen
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;250 g Alaska pollak (diepvries)
80 g panko;80g panko;80 g pankobroodkruimels
40 g honing;40g honing;40 g honing
100 ml ketjap manis;100ml ketjap manis;100 ml ketjap manis
1 el zwarte peperbollen;1 el zwarte peperbollen;1 el zwarte peperbollen
300 g braambessen;300g braambessen;300 g braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;4 vastkokende aardappelen
little gem (slaharten);little gem;1 stuk little gem (slaharten)
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;400 g gekookte hamsneetjes
0.5 koffiel grenadine;0.5 koffielepel grenadine;500 ml grenadine
4 cl cognac;4cl cognac;40 ml cognac
10 g groene-aspergepunten;10g groene-aspergepunten;10 g groene aspergepunten
100 g boter;100g boter;100 g boter
20 champignons;20 champignons;20 champignons
6 smarties rode;6 smarties rode;6 smarties, rood
300 g seitan blok;300g seitan blok;300g seitan blok
1 kg kalkoengebraad;1kg kalkoengebraad;1 kg kalkoengebraad
200 g broccolirijst;200g broccolirijst;200 g broccolirijst
1 takjes kervel;1 takje kervel;1 takje kervel
200 g spirelli tricolore;200g spirelli tricolore;200 g spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;4 blikjes ansjovis
1 kg mascarpone;1kg mascarpone;1 kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;3 el mayonaise, 3 el plantaardig alternatief voor yoghurt op basis van kokos
2 el suikerpoeder;2 el suikerpoeder;2 eetlepels suikerpoeder
5 pruimen grote;5 pruimen;5 stuks pruimen, grote
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;10 gedroogde tomaten, olie uit de verpakking
4 eetl. patisseriebloem;4 eetl. patisseriebloem;240g patisseriebloem
rode uien;rode uien;1 rode ui
8 kastanjechampignon;8 kastanjechampignons;8 stuks kastanjechampignons
1 kleine spitskool;1 kleine spitskool;1 spitskool
0.5 kg aardappelen;500g aardappelen;500g aardappelen
10 g verse gember;10g verse gember;10 g verse gember
70 g rode pesto (versmarkt);70g rode pesto versmarkt;70 g rode pesto
120 g verse garnalen;120g verse garnalen;120 g garnalen, vers
1 eetl chilisaus facultatief;1 eetlepel chilisaus;1 eetlepel chilisaus
400 g nestnoedels;400g nestnoedels;400 g nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;500 g rucola
2 peren Durondeau;2 peren Durondeau;2 peren Durondeau
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;550 g artisjokken met steel uit blik, 3 eetlepels olie uit de verpakking
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;300 gram bladerdeeg, vers
0.16 knolselder;0.16 knolselder;160 gram knolselder
3 grote courgettes;3 grote courgettes;3 courgettes
1 el zoete chilisaus;1 el zoete chilisaus;1 el zoete chilisaus
12 lasagnevellen;12 lasagnevellen;12 lasagnevellen
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800 g varkensstoofvlees
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;35 g groenepeperbolletjes
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;1 gebraden kotelet
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;2 blokjes kippenbouillon, vetarm
250 g blauwe kaas;250g blauwe kaas;250 g blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;2 el kruidenkaas
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;25 g tournedos
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;265 g pure chocolade
500 g patisseriebloem;500g patisseriebloem;500 g patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;4 stuks Turkse broodjes
1 el ras el hanout;1 el ras el hanout;1 eetlepel ras el hanout
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;1 rol bladerdeeg (diepvries)
345 g bloem;345g bloem;345 g bloem
500 g runderwangen;500g runderwangen;500 g runderwangen
3 limoen;3 limoen;3 limoenen
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;1 eetlepel zeewiertapenade
165 ml kokosmelk (blik);165ml kokosmelk in blik;165 ml kokosmelk
2 el yoghurt;2 el yoghurt;2 el yoghurt
8 tortillawrap;8 tortillawraps;8 stuks tortillawraps
20 cl sinaasappellimonade;20cl sinaasappellimonade;200 ml sinaasappellimonade
6 dl cranberrydrink;6dl cranberrydrink;600 ml cranberrydrink
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;0,5 koffielepel gedroogde chilipepervlokken
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;500 g zoetzure saus, ananas, groenten
5 plakje chorizo;5 plakjes chorizo;5 plakjes chorizo
1.5 cl droge witte wijn;1.5cl droge witte wijn;150 ml droge witte wijn
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;800 g diepvries bladspinazie
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;340 g pastasaus Pecorino-Look
600 g gesneden prei (diepvries);600g gesneden prei diepvries;600 g gesneden prei, diepvries
300 g erwten (diepvries);300g erwten diepvries;300 g diepvries erwten
1 handvol pistachenoten;1 handvol pistachenoten;1 handvol pistachenoten
1 kl witte peper;1 kl witte peper;1 kl witte peper
12 kiwibessen;12 kiwibessen;12 kiwibessen
5 g verse bladpeterselie;5g verse bladpeterselie;5 g verse bladpeterselie
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;6 sneetjes ham
15 cl cider Belgische;15cl cider Belgische;150 ml Belgische cider
25 ml citroensap;25ml citroensap;25 ml citroensap
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;1 plantje bieslook, diepvries
32 Spar mosselen;32 Spar mosselen;32 stuks mosselen
aluminiumfolie of carta folie;aluminiumfolie;1 rol aluminiumfolie of carta folie
1 Boni Selection krab;1 Boni Selection krab;1 blik krab
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;3 eetlepels ahornsiroop
400 g shiitake;400g shiitake;400 g shiitakepaddenstoelen
1 verpakking feta;1 verpakking feta;200 g feta
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;4 hamburgerbroodjes
300 gekookte kreeften (diepvries) ± 300 g elk;300 gekookte kreeften diepvries;300 stuks kreeften, gekookt, diepvries, ongeveer 300 g per stuk
5 vel brickdeeg;5 vel brickdeeg;5 vellen brickdeeg
2 el;2 el;2 eetlepels
2 stengels witte selder;2 stengels witte selder;2 stengels selder
3 zoetzure augurk;3 zoetzure augurk;3 stuks augurken, zoetzuur
250 g zeezout;250g zeezout;250 g zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;200 ml witbier
takjes verse tijm;takjes verse tijm;15 g verse tijm
6 blauwe bessen;6 blauwe bessen;6 bessen, blauwe
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300 g tomatenvlees met groenten
scheutje rode wijnazijn;scheutje rode wijnazijn;1 scheutje rode wijnazijn
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;1 eetlepel Mexicaanse chilimix
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 eetlepels yoghurt
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;1 teentje knoflook, geperst
8 g kandijsiroop;8g kandijsiroop;8 gram kandijsiroop
zwarte olijven zonder pit;zwarte olijven zonder pit;330g zwarte olijven zonder pit
250 g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt;250 g spekblokjes, gezouten
0.5 kop bloem;0.5 kop bloem;110g bloem
6 honingtomaatjes;6 honingtomaatjes;6 stuks honingtomaatjes
6 el bloemsuiker;6 el bloemsuiker;6 eetlepels bloemsuiker
2 komkommer;2 komkommers;2 komkommers
130 g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes;130 g voorgekookte tarwegraantjes
3.5 dl halfvolle melk;350ml halfvolle melk;350 ml halfvolle melk
0.33 ananassen;0.33 ananassen;330 g ananas
1 plantjes verse tijm;1 plantje verse tijm;1 plantje verse tijm
450 g gekookte rode biet;450g gekookte rode biet;450 g gekookte rode biet
3 sneetje toastbrood;3 sneetjes toastbrood;3 sneetjes brood
200 g blauwgeaderde kaas;200g blauwgeaderde kaas;200 g blauwgeaderde kaas
1.2 kg gepelde tomaten (blik);1.2kg gepelde tomaten in blik;1,2 kg gepelde tomaten
1 el gedroogde tijm;1 el gedroogde tijm;1 el gedroogde tijm
200 g boekweitmeel volkoren;200g boekweitmeel volkoren;200 g volkoren boekweitmeel
4 bollen mojitosorbet (diepvries);4 bollen mojitosorbet diepvries;4 bollen mojitosorbet, diepvries
6 verse fijne lasagnebladen;6 verse lasagnebladen;6 stuks fijne lasagnebladen, vers
4 kalfsescalopes (beenhouwerij);4 kalfsescalopes beenhouwerij;4 stuks kalfsescalopes
2 koffielepel komijnzaadjes;2 koffielepels komijnzaadjes;2 koffielepels komijnzaadjes
2 koffiel Provençaalse kruidenmix (molen);2 koffiel Provençaalse kruidenmix (molen);2 koffielepels Provençaalse kruidenmix
1.5 kg aardappelnootjes (diepvries);1.5kg aardappelnootjes diepvries;1,5 kg aardappelnootjes (diepvries)
100 g walnootpitten;100g walnootpitten;100 g walnoten
200 g vermicelli;200g vermicelli;200 g vermicelli
4 dl magere melk;400ml magere melk;400 ml melk
165 g boudoirs (lange vingers);165g boudoirs;165 g boudoirs (lange vingers)
10 el zonnebloemolie;10 el zonnebloemolie;10 el zonnebloemolie
200 g gemengd gehakt;200g gemengd gehakt;200 g gemengd gehakt
400 g pasta naar keuze;400g pasta;400 g pasta
400 g macaroni volkoren;400g macaroni volkoren;400 g volkoren macaroni
700 ml rundbouillon;700ml rundbouillon;700 ml rundbouillon
1 takjes koriander;1 takje koriander;1 bosje koriander
Romeinse slaharten;Romeinse slaharten;2 stronken romaanse sla, dubbelgedraaide harten
verse kokosnootstukjes;verse kokosnootstukjes;1 stuks verse kokos, in stukjes
1 l Heide Atelier vanilleroomijs;1 l Heide Atelier vanilleroomijs;1 l vanilleroomijs
1 dl droge vermouth;1 dl droge vermouth;100 ml vermouth droog
200 g Atlantische zalmsteaks (diepvries) of zalmhaasjes;200g Atlantische zalmsteaks diepvries;200 g zalmsteaks of zalmhaasjes, diepvries
250 broccoli's of 400 g broccoliroosjes (diepvries);250 broccoli's;400 g diepvries broccoliroosjes
300 g Alaska-pollakfilets (diepvries);300g Alaska-pollakfilets diepvries;300 g diepvries Alaska-pollakfilets
12 Spar Frozen Selection rösti;12 stuks Spar Frozen Selection rösti;12 stuks rösti, diepvries
8 eetlepel diepvries rode vruchten;8 eetlepels diepvries rode vruchten;8 eetlepels diepvries rode vruchten
1.5 el rietsuikersiroop;1.5 el rietsuikersiroop;1,5 el rietsuikersiroop
7 dl water;700ml water;700 ml water
4 eetl. verse geitenkaas;4 eetl. verse geitenkaas;4 eetlepels geitenkaas, vers
3 passievrucht;3 passievrucht;3 stuks passievruchten
2 spieringen (beenhouwerij);2 spieringen beenhouwerij;2 stuks spieringen
6 takjes verse rozemarijn;6 takjes verse rozemarijn;6 stuks verse rozemarijntakjes
2 blaadjes kropsla;2 blaadjes kropsla;2 stuks kropsla
4 cigarette koekjes;4 cigarette koekjes;4 stuks cigarettekoekjes
1 slamix Mesclun;1 slamix Mesclun;300g mesclun salade
0.5 miniwatermeloen;0.5 miniwatermeloen;1 watermeloen
1.5 dl hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink;150 ml hazelnoot-amandeldrink
40 g pompoenpitten;40g pompoenpitten;40 g pompoenpitten
400 g spirelli of andere korte pasta;400g spirelli;400 g spirelli pasta
4 sneden belegen kazen;4 sneden belegen kaas;4 sneden belegen kaas
100 g rode vruchtenmix (diepvries);100g rode vruchtenmix diepvries;100 g rode vruchtenmix (diepvries)
100 g boekweitbloem;100g boekweitbloem;100 g boekweitbloem
1 koppen bloem;1 kop bloem;1 koppen bloem
4 stukken zeewolffilets (diepvries) van ongeveer 20 cm lang;4 stukken zeewolffilets diepvries;4 stuks zeewolffilets van ongeveer 20 cm, diepvries
3 eetl sojadrinks;3 eetl sojadrink;3 eetlepels sojadrink
150 g groene linzen;150g groene linzen;150 g groene linzen
230 g gerookte forelfilets;230g gerookte forelfilets;230 g gerookte forelfilets
100 g Nazareth-kaas of andere abdijkaas;100g Nazareth-kaas;100 g abdijkaas
6 sneetjes ontvette gekookte hesp (beenhouwerij);6 sneetjes ontvette gekookte hesp beenhouwerij;6 sneetjes gekookte hesp
340 g witte chocolade;340g witte chocolade;340g witte chocolade
70 g amandelpoeder;70g amandelpoeder;70 g amandelpoeder
1 g zalmfilet;1g zalmfilet;1 g zalmfilet
680 g kikkererwten (blik);680g kikkererwten in blik;680 g kikkererwten (blik)
1 verpakking chop choy wok;1 verpakking chop choy wok;1 verpakking chop choy wok
10 druiven;10 druiven;10 druiven
50 g gemalen parmezaan;50g gemalen parmezaan;50 g parmezaanse kaas, gemalen
4 bosjes waterkers;4 bosjes waterkers;4 bosjes waterkers
1 Turks plat brood;1 Turks plat brood;1 stuk Turks plat brood
0.5 stengel selder;0.5 stengel selder;0,5 stengel selder
200 g witte druiven;200g witte druiven;200 g witte druiven
6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij);6 stuks hamburgers, rundvlees en varkensvlees
2 dunne lendes;2 dunne lendes;2 lendes
140 g tomatenpuree (blikje);140g tomatenpuree in blik;140 g tomatenpuree
5 g agar agar;5g agar agar;5 g agar agar
500 g verse pasta bv tagliatelle;500g verse pasta;500 g verse tagliatelle pasta
185 g rodebietenspread;185g rodebietenspread;185 g rodebietenspread
5 cl melk;5cl melk;50 ml melk
250 g zalm;250g zalm;250 g zalm
40 g zeezout;40g zeezout;40 g zeezout
2 kl kappertjes (bokaal);2 kl kappertjes in bokaal;2 kl kappertjes
200 g fajitasaus (bokaal);200g fajitasaus in bokaal;200 g fajitasaus
40 g suiker;40g suiker;40 g suiker
1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree;1,5 koffielepel tomatenpuree
800 g suiker;800g suiker;800 g suiker
16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven;16 stuks Boni Selection zwarte olijven
4 gele courgettini;4 gele courgettini;4 stuks courgettini, geel
1.5 blokje kippenbouillon;1.5 blokjes kippenbouillon;1,5 blokje kippenbouillon
1 grote bos verse dille;1 grote bos verse dille;1 bos dille
4 kl citroensap;4kl citroensap;4 kl citroensap
15 ml rijstazijn;15ml rijstazijn;15 ml rijstazijn
60 g ricotta;60g ricotta;60 g ricotta
1 koffiel dille (gedroogd);1 koffielepel dille gedroogd;1 koffiel dille, gedroogd
33 cl bruin bier naar keuze;33cl bruin bier;330 ml bruin bier
12 witte druiven;12 witte druiven;12 druiven, wit
700 g tomaten;700g tomaten;700 g tomaten
4 kippenbrochettes exotic (beenhouwerij);4 kippenbrochettes exotic beenhouwerij;4 stuks kippenbrochettes
3 Voor  quiches met zalm en groenten:;3 Voor quiches met zalm en groenten;"- 6 plakken bladerdeeg
- 300 g gerookte zalm
- 300 g roerbakgroenten (bijv. broccoli, wortel, courgette)
- 3 eieren
- 200 ml room
- 100 g geraspte kaas
- Zout en peper naar smaak"
4 spruitjes;4 spruitjes;4 spruitjes
8 kerstomaat;8 kerstomaat;8 stuks tomaten
100 g zongedroogde mediterrane tomaten (versmarkt);100g zongedroogde mediterrane tomaten versmarkt;100 g zongedroogde tomaten
4 chocolademoelleuxs;4 chocolademoelleuxs;160 g pure chocolade, 160 g boter, 4 eieren, 160 g suiker, 80 g bloem
200 g peultjes (diepvries);200g peultjes diepvries;200 g peultjes, diepvries
4 peperkoek;4 peperkoek;4 stuks peperkoek
6 takje platte peterselie;6 takjes platte peterselie;6 takjes platte peterselie
