input;actual;output
200 g noordse garnalen (diepvries);200g noordse garnalen diepvries;200 gram noordse garnalen, diepvries
500 g kalfsescalopes (beenhouwerij);500g kalfsescalopes beenhouwerij;500 gram kalfsescalopes
700 g bladspinazie (diepvries);700g bladspinazie diepvries;700 gram bladspinazie, diepvries
2 el Baileys;2 el Baileys;30 ml Baileys
muffinvormpjes;muffinvormpjes;- 12 stuks muffinvormpjes
7 eieren;7 eieren;7 stuks eieren
40 g eendenlever (beenhouwerij);40g eendenlever beenhouwerij;40 gram eendenlever
400 g gerookte Atlantische zalm (versmarkt);400g gerookte Atlantische zalm versmarkt;400 gram gerookte Atlantische zalm
600 g lamsburgers (beenhouwerij);600g lamsburgers beenhouwerij;600 g lamsburgers
0.5 potjes kappertjes (bokaal) liefst met steeltje;0.5 potje kappertjes in bokaal;60 gram kappertjes, liefst met steeltje
160 ml water;160ml water;160 ml water
75 cl granaatappelsap;75cl granaatappelsap;750 ml granaatappelsap
150 g snijbonen;150g snijbonen;150 gram snijbonen
12 cl ananassap;12cl ananassap;120 ml ananassap
33 cl Rochefort 8;33cl Rochefort 8;33 cl Rochefort 8
150 g gekookte ham (sneetjes);150g gekookte ham sneetjes;150 gram gekookte ham, in sneetjes
Boni pizzasaus;Boni pizzasaus;1 pot Boni pizzasaus
500 g boterbonen (diepvries);500g boterbonen diepvries;500 gram boterbonen, diepvries
8 melkchocolade mignonettes;8 melkchocolade mignonettes;8 stuks melkchocolade mignonettes
40 g noordzeegarnalen (versmarkt);40g noordzeegarnalen versmarkt;40 gram noordzeegarnalen
2 el pikante tapenade (versmarkt);2 el pikante tapenade versmarkt;2 el pikante tapenade
300 g couscous;300g couscous;300 gram couscous
1 kg shiitake;1kg shiitake;1000 gram shiitake
2 cl gin;2cl gin;20 ml gin
1 potje gefrituurde uitjes;1 potje gefrituurde uitjes;1 potje gefrituurde uitjes
6 eetlepel appelmoes;6 eetlepels appelmoes;6 eetlepels appelmoes
2 voorgekookte kreeft;2 voorgekookte kreeft;- 2 stuks voorgekookte kreeft
10 cl La Trappe Quadrupel;10cl La Trappe Quadrupel;100 ml La Trappe Quadrupel
4 koffiel tapenade van groene olijven (versmarkt);4 koffielepels tapenade van groene olijven versmarkt;4 koffielepels tapenade van groene olijven
"1 wit toastbrood of gewoon wit brood; niet gesneden";1 wit toastbrood;1 wit toastbrood of gewoon wit brood, niet gesneden
2 dl Troubadour Magma;2dl Troubadour Magma;200 ml Troubadour Magma bier
120 ml kriekbier;120ml kriekbier;120 ml kriekbier
2 dl visfond (bokaal);200ml visfond bokaal;200 ml visfond (bokaal)
1 blik artisjokharten;1 blik artisjokharten;- 400 gram artisjokharten (uit blik)
8 blaadje waterkers;8 blaadjes waterkers;8 blaadjes waterkers
4 cordon bleu (beenhouwerij);4 cordon bleu beenhouwerij;4 stuks cordon bleu
150 g lichtbruine rietsuiker;150g lichtbruine rietsuiker;150 gram lichtbruine rietsuiker
1 eetlepel vanillesuiker;1 eetlepel vanillesuiker;1 eetlepel vanillesuiker
6 platte oesters;6 platte oesters;6 stuks platte oesters
40 g ananasstukjes op sap (blik);40g ananasstukjes op sap in blik;40 gram ananasstukjes op sap (blik)
0.5 kastanjepompoenen;0.5 kastanjepompoenen;- 0.5 kastanjepompoenen
400 g rundgehakt;400g rundgehakt;400 gram rundgehakt
1 kg penne;1kg penne;1 kg penne
2 bokalen tomatenvlees met groenten (bokaal);2 bokalen tomatenvlees met groenten in bokaal;2 bokalen tomatenvlees met groenten
4 visbrochettes (diepvries);4 visbrochettes diepvries;4 visbrochettes (diepvries)
250 g gedroogde pruimen;250g gedroogde pruimen;250 gram gedroogde pruimen
4 sneetjes pandaworsten;4 sneetjes pandaworsten;4 sneetjes pandaworst
2 Ruby chocoladetruffels;2 Ruby chocoladetruffels;2 Ruby chocoladetruffels
"40 g groene olijven; ontpit";"40g groene olijven; ontpit";40 gram groene olijven, ontpit
250 g volkoren bloem;250g volkoren bloem;250 gram volkorenbloem
400 g schelvisfilet;400g schelvisfilet;400 gram schelvisfilet
1 rietsuiker naar smaak;1 rietsuiker;1 rietsuiker
15 g passievruchtensiroop ();15g passievruchtensiroop;15 gram passievruchtensiroop
1.2 zakje bakpoeder;1.2 zakjes bakpoeder;- 1.2 zakje bakpoeder
4 eetl gojibes;4 eetl gojibes;4 eetlepels gojibessen
0.5 kg ganzenvet;0.5kg ganzenvet;500 gram ganzenvet
3 cl vermout;3cl vermout;30 ml vermout
12 verpakking groene asperges;12 verpakkingen groene asperges;- 12 verpakkingen groene asperges
20 crackers met olijven;20 crackers met olijven;20 crackers met olijven
2 blik rode bonen;2 blikken rode bonen;2 blikken rode bonen
5 kg pruimen;5kg pruimen;5000 gram pruimen
1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel;- 1 eetlepel gemalen kaneel
400 g pasta bv farfalle of penne;400g pasta;400 gram pasta (bijvoorbeeld farfalle of penne)
0.5 koffielepel zachte mosterd;0.5 koffielepel zachte mosterd;5 gram mosterd, zacht
"10 zongedroogde tomaten (versmarkt; tomatenmarinade) met basilicum";10 zongedroogde tomaten versmarkt tomatenmarinade met basilicum;10 stuks zongedroogde tomaten met basilicum (tomatenmarinade)
vers stokbrood;vers stokbrood;- 1 stokbrood, vers
3 blokjes vetarme groentebouillon;3 blokjes vetarme groentebouillon;- 3 blokjes vetarme groentebouillon
4 stukken prei;4 stukken prei;4 stukken prei
Spar garnalen;Spar garnalen;300 gram Spar garnalen
150 g blonde basterdsuiker;150g blonde basterdsuiker;150 gram basterdsuiker, blond
3 varkenssneden (beenhouwerij);3 varkenssneden beenhouwerij;- 3 varkenssneden
50 ml Smeets extra;50ml Smeets extra;50 ml Smeets extra vierge olijfolie
5 mastellen;5 mastellen;- 5 stuks mastellen
ijsblokjes facultatief;ijsblokjes;* ijsblokjes (facultatief)
4 eetlepel tomatenstukjes (blik);4 eetlepels tomatenstukjes in blik;4 eetlepel tomatenstukjes (blik)
12 zwarte olijf zonder pit;12 zwarte olijven zonder pit;12 stuks zwarte olijven zonder pit
8 verse korianderblaadjes;8 verse korianderblaadjes;8 korianderblaadjes, vers
gegaarde witlofstronkjes;gegaarde witlofstronkjes;1 stronk gegaarde witlof
2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder;2.5 eetlepels sumakpoeder
4 eetlepels muntsiroop;4 eetlepels muntsiroop;4 eetlepels muntsiroop
1 geitenkaas stronkje;1 geitenkaas stronkje;1 stuk geitenkaas
420 g mini-krielaardappelen met marinade;420g mini-krielaardappelen met marinade;420 gram mini-krielaardappelen met marinade
1 kop quinoa;1 kop quinoa;180 gram quinoa
6 grote vastkokende aardappelen;6 grote vastkokende aardappelen;- 6 stuks grote vastkokende aardappelen
Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit;1 pak Dr Oetker chocoladestiften wit
1 verpakkingen waterkers;1 verpakking waterkers;1 verpakking waterkers
0.25 venkels;0.25 venkels;- 0.25 venkel
0.5 kl kruidnagel;0.5kl kruidnagel;0.5 kilogram kruidnagel
3 wittewijnazijn;3 wittewijnazijn;3 el wittewijnazijn
5 wittewijnazijn;5 wittewijnazijn;5 el wittewijnazijn
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;18 stuks halfgedroogde kerstomaten in olie
1.5 koppen rijst;1.5 koppen rijst;300 gram rijst
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetlepels zachte mosterd
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;0.5 bosje verse peterselie
250 g pruimtomaten kleine;250g pruimtomaten;250 gram pruimtomaten, kleine
bloemkolen;1 bloemkool;- 1 bloemkool
4 Boni bio citroenen;4 Boni bio citroenen;4 stuks Boni bio citroenen
0.5 schaaltje waterkers;0.5 schaaltje waterkers;- 0.5 schaaltje waterkers
5 eieren;5 eieren;5 stuks eieren
babypeertjes (bokaal);babypeertjes (bokaal);1 bokaal babypeertjes
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;- 2 verpakkingen Braziliaanse bakpatatjes
15 witte asperge;15 witte asperges;15 stuks witte asperges
6 stengel bleekselder;6 stengels bleekselder;- 6 stengels bleekselderij
80 g mango;80g mango;80 g mango
125 ml zure room;125ml zure room;125 ml zure room
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;1 eetlepel olijfolie extra vierge
70 g fijne suiker;70g fijne suiker;70 gram fijne suiker
1 dl runderfond (bokaal);1 dl runderfond in bokaal;100 ml runderfond
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;110 gram halfgedroogde tomaten
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;2 pizzadeeg
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600 gram Alaska pollak (diepvries)
2 belgica-appelen;2 belgica-appelen;2 belgica-appelen
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;250 gram Alaska pollak, diepvries
80 g panko;80g panko;80 gram panko
40 g honing;40g honing;40 gram honing
100 ml ketjap manis;100ml ketjap manis;100 ml ketjap manis
1 el zwarte peperbollen;1 el zwarte peperbollen;1 el zwarte peperbollen
300 g braambessen;300g braambessen;300 gram braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;4 vastkokende aardappelen
little gem (slaharten);little gem;1 little gem (slahart)
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;400 gram ham, gekookt, in sneetjes
0.5 koffiel grenadine;0.5 koffielepel grenadine;0.5 koffielepel grenadine
4 cl cognac;4cl cognac;40 ml cognac
10 g groene-aspergepunten;10g groene-aspergepunten;10 gram groene aspergepunten
100 g boter;100g boter;100 gram boter
20 champignons;20 champignons;20 stuks champignons
6 smarties rode;6 smarties rode;6 stuks smarties, rode
300 g seitan blok;300g seitan blok;300 gram seitanblok
1 kg kalkoengebraad;1kg kalkoengebraad;1 kg kalkoengebraad
200 g broccolirijst;200g broccolirijst;200 gram broccolirijst
1 takjes kervel;1 takje kervel;1 takje kervel
200 g spirelli tricolore;200g spirelli tricolore;200 gram spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;4 blikjes ansjovis
1 kg mascarpone;1kg mascarpone;1000 gram mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;3 eetlepels mayonaise of plantaardige yoghurt op basis van kokos
2 el suikerpoeder;2 el suikerpoeder;2 el suiker, poeder
5 pruimen grote;5 pruimen;5 pruimen
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;10 stuks gedroogde tomaten (versmarkt) + de olie uit de verpakking
4 eetl. patisseriebloem;4 eetl. patisseriebloem;4 eetlepels patisseriebloem
rode uien;rode uien;1 rode ui
8 kastanjechampignon;8 kastanjechampignons;8 stuks kastanjechampignons
1 kleine spitskool;1 kleine spitskool;- 1 kleine spitskool
0.5 kg aardappelen;500g aardappelen;- 500 gram aardappelen
10 g verse gember;10g verse gember;10 g verse gember
70 g rode pesto (versmarkt);70g rode pesto versmarkt;70 gram rode pesto
120 g verse garnalen;120g verse garnalen;120 gram garnalen, vers
1 eetl chilisaus facultatief;1 eetlepel chilisaus;1 eetlepel chilisaus (facultatief)
400 g nestnoedels;400g nestnoedels;400 gram nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;75 g rucola
2 peren Durondeau;2 peren Durondeau;- 2 peren Durondeau
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;"550 gram artisjokken met steel, uit bokaal
3 eetlepels olie, uit verpakking van artisjokken"
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;100 gram bladerdeeg, vers
0.16 knolselder;0.16 knolselder;160 gram knolselder
3 grote courgettes;3 grote courgettes;- 3 stuks grote courgettes
1 el zoete chilisaus;1 el zoete chilisaus;15 gram zoete chilisaus
12 lasagnevellen;12 lasagnevellen;- 12 stuks lasagnevellen
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800 g varkensstoofvlees
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;35 gram groenepeperbolletjes bokaal
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;1 kg gebraden varkenskoteletten
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;- 2 blokjes vetarme kippenbouillon
250 g blauwe kaas;250g blauwe kaas;250 gram blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;30 gram kruidenkaas
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;25 gram tournedos
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;265 gram pure chocolade
500 g patisseriebloem;500g patisseriebloem;500 gram patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;- 4 stuks Turkse broodjes
1 el ras el hanout;1 el ras el hanout;15 gram ras el hanout
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;1 rol bladerdeeg, diepvries
345 g bloem;345g bloem;345 gram bloem
500 g runderwangen;500g runderwangen;500 gram runderwangen
3 limoen;3 limoen;3 limoenen
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;15 gram zeewiertapenade
165 ml kokosmelk (blik);165ml kokosmelk in blik;165 ml kokosmelk
2 el yoghurt;2 el yoghurt;2 el yoghurt
8 tortillawrap;8 tortillawraps;8 stuks tortillawraps
20 cl sinaasappellimonade;20cl sinaasappellimonade;200 ml sinaasappellimonade
6 dl cranberrydrink;6dl cranberrydrink;600 ml cranberrydrink
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;500 gram zoetzure saus met ananas en groenten
5 plakje chorizo;5 plakjes chorizo;5 plakjes chorizo
1.5 cl droge witte wijn;1.5cl droge witte wijn;15 ml droge witte wijn
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;8 porties diepvries bladspinazie
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;340 gram pastasaus Pecorino-Look
600 g gesneden prei (diepvries);600g gesneden prei diepvries;600 g prei, gesneden, diepvries
300 g erwten (diepvries);300g erwten diepvries;300 gram erwten, diepvries
1 handvol pistachenoten;1 handvol pistachenoten;1 handvol pistachenoten
1 kl witte peper;1 kl witte peper;1 kl witte peper
12 kiwibessen;12 kiwibessen;12 stuks kiwibessen
5 g verse bladpeterselie;5g verse bladpeterselie;5 gram verse bladpeterselie
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;6 sneetjes Ganda-ham, vers
15 cl cider Belgische;15cl cider Belgische;150 ml cider, Belgische
25 ml citroensap;25ml citroensap;25 ml citroensap
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;1 plantje bieslook (diepvries)
32 Spar mosselen;32 Spar mosselen;32 stuks Spar mosselen
aluminiumfolie of carta folie;aluminiumfolie;"- 1 vel aluminiumfolie
- 1 vel carta folie"
1 Boni Selection krab;1 Boni Selection krab;1 stuk Boni Selection krab
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;3 eetlepels ahornsiroop
400 g shiitake;400g shiitake;400 gram shiitake
1 verpakking feta;1 verpakking feta;200 gram feta
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;- 4 stuks hamburgerbroodjes Maxi
300 gekookte kreeften (diepvries) ± 300 g elk;300 gekookte kreeften diepvries;300 stuks diepvries gekookte kreeften van ongeveer 300 gram per stuk
5 vel brickdeeg;5 vel brickdeeg;- 5 vel brickdeeg
2 el;2 el;2 eetlepels
2 stengels witte selder;2 stengels witte selder;2 stengels witte selder
3 zoetzure augurk;3 zoetzure augurk;3 augurken, zoetzuur
250 g zeezout;250g zeezout;250 gram zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;200 ml Blanche de Namur witbier
takjes verse tijm;takjes verse tijm;4 takjes verse tijm
6 blauwe bessen;6 blauwe bessen;6 stuks blauwe bessen
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300 gram tomatenvlees met groenten (bokaal)
scheutje rode wijnazijn;scheutje rode wijnazijn;1 scheutje rode wijnazijn
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;15 gram Mexicaanse chili kruidenmix
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 eetlepels volle yoghurt
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie
8 g kandijsiroop;8g kandijsiroop;8 gram kandijsiroop
zwarte olijven zonder pit;zwarte olijven zonder pit;1 zwarte olijven zonder pit
250 g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt;250 gram spekblokjes, gezouten
0.5 kop bloem;0.5 kop bloem;60 gram bloem
6 honingtomaatjes;6 honingtomaatjes;- 6 honingtomaatjes
6 el bloemsuiker;6 el bloemsuiker;6 el bloemsuiker
2 komkommer;2 komkommers;- 2 komkommers
130 g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes;130 gram voorgekookte tarwegraantjes
3.5 dl halfvolle melk;350ml halfvolle melk;350 ml halfvolle melk
0.33 ananassen;0.33 ananassen;1/3 ananas
1 plantjes verse tijm;1 plantje verse tijm;1 plantje verse tijm
450 g gekookte rode biet;450g gekookte rode biet;450 gram rode biet, gekookt
3 sneetje toastbrood;3 sneetjes toastbrood;3 sneetjes toastbrood
200 g blauwgeaderde kaas;200g blauwgeaderde kaas;200 gram blauwgeaderde kaas
1.2 kg gepelde tomaten (blik);1.2kg gepelde tomaten in blik;1.2 kg gepelde tomaten (blik)
1 el gedroogde tijm;1 el gedroogde tijm;1 el gedroogde tijm
200 g boekweitmeel volkoren;200g boekweitmeel volkoren;200 gram boekweitmeel, volkoren
4 bollen mojitosorbet (diepvries);4 bollen mojitosorbet diepvries;4 bollen mojitosorbet (diepvries)
6 verse fijne lasagnebladen;6 verse lasagnebladen;6 stuks verse lasagnebladen, fijn
4 kalfsescalopes (beenhouwerij);4 kalfsescalopes beenhouwerij;4 kalfsescalopes
2 koffielepel komijnzaadjes;2 koffielepels komijnzaadjes;2 koffielepels komijnzaadjes
2 koffiel Provençaalse kruidenmix (molen);2 koffiel Provençaalse kruidenmix (molen);2 koffielepels Provençaalse kruidenmix
1.5 kg aardappelnootjes (diepvries);1.5kg aardappelnootjes diepvries;1500 gram aardappelnootjes, diepvries
100 g walnootpitten;100g walnootpitten;100 gram walnootpitten
200 g vermicelli;200g vermicelli;200 gram vermicelli
4 dl magere melk;400ml magere melk;400 ml magere melk
165 g boudoirs (lange vingers);165g boudoirs;165 gram boudoirs
10 el zonnebloemolie;10 el zonnebloemolie;10 el zonnebloemolie
200 g gemengd gehakt;200g gemengd gehakt;200 gram gehakt, gemengd
400 g pasta naar keuze;400g pasta;400 gram pasta
400 g macaroni volkoren;400g macaroni volkoren;400 gram volkoren macaroni
700 ml rundbouillon;700ml rundbouillon;700 ml rundbouillon
1 takjes koriander;1 takje koriander;1 takje koriander
Romeinse slaharten;Romeinse slaharten;2 stuks Romeinse slaharten
verse kokosnootstukjes;verse kokosnootstukjes;1 stuk verse kokosnoot
1 l Heide Atelier vanilleroomijs;1 l Heide Atelier vanilleroomijs;1 liter Heide Atelier vanilleroomijs
1 dl droge vermouth;1 dl droge vermouth;100 ml droge vermouth
200 g Atlantische zalmsteaks (diepvries) of zalmhaasjes;200g Atlantische zalmsteaks diepvries;200 gram Atlantische zalmsteaks, diepvries
250 broccoli's of 400 g broccoliroosjes (diepvries);250 broccoli's;400 g broccoliroosjes, diepvries
300 g Alaska-pollakfilets (diepvries);300g Alaska-pollakfilets diepvries;300 gram Alaska-pollakfilets, diepvries
12 Spar Frozen Selection rösti;12 stuks Spar Frozen Selection rösti;12 stuks Spar Frozen Selection rösti, diepvries
8 eetlepel diepvries rode vruchten;8 eetlepels diepvries rode vruchten;8 eetlepels diepvries rode vruchten
1.5 el rietsuikersiroop;1.5 el rietsuikersiroop;15 ml rietsuikersiroop
7 dl water;700ml water;700 ml water
4 eetl. verse geitenkaas;4 eetl. verse geitenkaas;4 eetlepels verse geitenkaas
3 passievrucht;3 passievrucht;3 passievruchten
2 spieringen (beenhouwerij);2 spieringen beenhouwerij;- 2 spieringen
6 takjes verse rozemarijn;6 takjes verse rozemarijn;6 takjes verse rozemarijn
2 blaadjes kropsla;2 blaadjes kropsla;- 2 stuks kropsla
4 cigarette koekjes;4 cigarette koekjes;4 stuks cigarette koekjes
1 slamix Mesclun;1 slamix Mesclun;- 1 zakje mesclun slamix
0.5 miniwatermeloen;0.5 miniwatermeloen;- 0.5 miniwatermeloen
1.5 dl hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink;150 ml hazelnoot-amandeldrink
40 g pompoenpitten;40g pompoenpitten;40 gram pompoenpitten
400 g spirelli of andere korte pasta;400g spirelli;400 gram spirelli
4 sneden belegen kazen;4 sneden belegen kaas;4 sneden belegen kaas
100 g rode vruchtenmix (diepvries);100g rode vruchtenmix diepvries;100 gram rode vruchtenmix, diepvries
100 g boekweitbloem;100g boekweitbloem;100 gram boekweitbloem
1 koppen bloem;1 kop bloem;- 1 kop bloem
4 stukken zeewolffilets (diepvries) van ongeveer 20 cm lang;4 stukken zeewolffilets diepvries;4 stuks zeewolffilets (diepvries), ongeveer 20 cm lang
3 eetl sojadrinks;3 eetl sojadrink;3 eetlepels sojadrink
150 g groene linzen;150g groene linzen;150 gram linzen, groene
230 g gerookte forelfilets;230g gerookte forelfilets;230 gram gerookte forelfilet
100 g Nazareth-kaas of andere abdijkaas;100g Nazareth-kaas;100 gram Nazareth-kaas of andere abdijkaas
6 sneetjes ontvette gekookte hesp (beenhouwerij);6 sneetjes ontvette gekookte hesp beenhouwerij;6 sneetjes ontvette gekookte hesp
340 g witte chocolade;340g witte chocolade;340 gram witte chocolade
70 g amandelpoeder;70g amandelpoeder;70 gram amandelpoeder
1 g zalmfilet;1g zalmfilet;1000 gram zalmfilet
680 g kikkererwten (blik);680g kikkererwten in blik;680 gram kikkererwten, uit blik
1 verpakking chop choy wok;1 verpakking chop choy wok;- 1 verpakking chop choy wok
10 druiven;10 druiven;10 stuks druiven
50 g gemalen parmezaan;50g gemalen parmezaan;50 gram Parmezaanse kaas, geraspt
4 bosjes waterkers;4 bosjes waterkers;4 bosjes waterkers
1 Turks plat brood;1 Turks plat brood;- 1 stuk Turks platbrood
0.5 stengel selder;0.5 stengel selder;1/2 stengel selder
200 g witte druiven;200g witte druiven;200 gram witte druiven
6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij);6 stuks hamburgers (rund + varken) (beenhouwerij)
2 dunne lendes;2 dunne lendes;2 stuks dunne lendes
140 g tomatenpuree (blikje);140g tomatenpuree in blik;140 gram tomatenpuree
5 g agar agar;5g agar agar;5 gram agar agar
500 g verse pasta bv tagliatelle;500g verse pasta;- 500 gram verse pasta (bv. tagliatelle)
185 g rodebietenspread;185g rodebietenspread;185 gram rodebietenspread
5 cl melk;5cl melk;50 ml melk
250 g zalm;250g zalm;250 gram zalm
40 g zeezout;40g zeezout;40 gram zeezout
2 kl kappertjes (bokaal);2 kl kappertjes in bokaal;2 kl kappertjes
200 g fajitasaus (bokaal);200g fajitasaus in bokaal;200 gram fajitasaus (bokaal)
40 g suiker;40g suiker;40 gram suiker
1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree;1.5 koffielepel tomatenpuree
800 g suiker;800g suiker;800 gram suiker
16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven;16 stuks Boni Selection zwarte olijven
4 gele courgettini;4 gele courgettini;4 gele courgettini
1.5 blokje kippenbouillon;1.5 blokjes kippenbouillon;1.5 stuks kippenbouillonblokjes
1 grote bos verse dille;1 grote bos verse dille;- 1 bos verse dille
4 kl citroensap;4kl citroensap;4 koffielepels citroensap
15 ml rijstazijn;15ml rijstazijn;15 ml rijstazijn
60 g ricotta;60g ricotta;60 gram ricotta
1 koffiel dille (gedroogd);1 koffielepel dille gedroogd;1 koffielepel gedroogde dille
33 cl bruin bier naar keuze;33cl bruin bier;- 330 ml bruin bier
12 witte druiven;12 witte druiven;12 witte druiven
700 g tomaten;700g tomaten;700 gram tomaten
