input;actual;prediction
6 platte oesters;6 platte oesters;6 oesters (stuk)
40 g ananasstukjes op sap (blik);40g ananasstukjes op sap in blik;Ananas (40 g)
0.5 kastanjepompoenen;0.5 kastanjepompoenen;Kastanjepompoen (0,5 kg)
400 g rundgehakt;400g rundgehakt;400 g rundgehakt
1 kg penne;1kg penne;1 kg penne pasta
2 bokalen tomatenvlees met groenten (bokaal);2 bokalen tomatenvlees met groenten in bokaal;"* 2 bokalen tomatenvlees: 400 gram
* Groenten: 200 gram"
4 visbrochettes (diepvries);4 visbrochettes diepvries;Visbrochette (4 stuks)
250 g gedroogde pruimen;250g gedroogde pruimen;250 gram gedroogde pruimen
4 sneetjes pandaworsten;4 sneetjes pandaworsten;Pandaworsten (4 stukken)
2 Ruby chocoladetruffels;2 Ruby chocoladetruffels;Ruby chocoladier: 2 eenheden
"40 g groene olijven; ontpit";"40g groene olijven; ontpit";40 g groene olijven
250 g volkoren bloem;250g volkoren bloem;Volkoren bloem (250 g)
400 g schelvisfilet;400g schelvisfilet;400 gram schelvisfilet
1 rietsuiker naar smaak;1 rietsuiker;1 rietsuiker (g)
15 g passievruchtensiroop ();15g passievruchtensiroop;Passievruchtensiroop (15 g)
1.2 zakje bakpoeder;1.2 zakjes bakpoeder;250g bakpoeder
4 eetl gojibes;4 eetl gojibes;Gojibes: 400 g
0.5 kg ganzenvet;0.5kg ganzenvet;0.5 kg ganzenvet
3 cl vermout;3cl vermout;Vermout (3 cl)
12 verpakking groene asperges;12 verpakkingen groene asperges;Asperges, 12 stuks
20 crackers met olijven;20 crackers met olijven;Olijven (320 g)
2 blik rode bonen;2 blikken rode bonen;2 × rode bonen (blik, 140g)
5 kg pruimen;5kg pruimen;Pruimen (5 kg)
1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel;1 eetlepel kaneel (10 g)
400 g pasta bv farfalle of penne;400g pasta;400 g pasta
0.5 koffielepel zachte mosterd;0.5 koffielepel zachte mosterd;0.5 gram mosterd
"10 zongedroogde tomaten (versmarkt; tomatenmarinade) met basilicum";10 zongedroogde tomaten versmarkt tomatenmarinade met basilicum;Zongedroogde tomaten: 1 kg
vers stokbrood;vers stokbrood;"Stokbrood:
* Verse gist 200 g
* Bruine suiker 5 g
* Zonnebloempittenolie 5 g
* Zout 2 g
* Water 350 ml
* Vloerprijsgist (starter) 20 g

* Baked fresh bread, bio, bewaren in papieren zak bij kamer temp."
3 blokjes vetarme groentebouillon;3 blokjes vetarme groentebouillon;Vetarme groentebouillon (3 blokjes)
4 stukken prei;4 stukken prei;Prei: 4 stukken
Spar garnalen;Spar garnalen;Garnalen (500g)
150 g blonde basterdsuiker;150g blonde basterdsuiker;150 g suiker
3 varkenssneden (beenhouwerij);3 varkenssneden beenhouwerij;3 varkenssneden, stuks
50 ml Smeets extra;50ml Smeets extra;50 ml Smeets extra
5 mastellen;5 mastellen;5 mastellen
ijsblokjes facultatief;ijsblokjes;IJsblokjes (100 g)
4 eetlepel tomatenstukjes (blik);4 eetlepels tomatenstukjes in blik;Tomatenstukjes, 240g
12 zwarte olijf zonder pit;12 zwarte olijven zonder pit;12 stuks zwarte olijfen
8 verse korianderblaadjes;8 verse korianderblaadjes;Koriander: 8 grams
gegaarde witlofstronkjes;gegaarde witlofstronkjes;Witlof (ca. 100 g)
2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder;Sumakpoeder 250 gram
4 eetlepels muntsiroop;4 eetlepels muntsiroop;Muntsiroop (100 gram)
1 geitenkaas stronkje;1 geitenkaas stronkje;Geitenkaas (100 g)
420 g mini-krielaardappelen met marinade;420g mini-krielaardappelen met marinade;Mini-krielaardappelen: 420g
1 kop quinoa;1 kop quinoa;Quinoa (1 kop)
6 grote vastkokende aardappelen;6 grote vastkokende aardappelen;Aardappelen 1,2 kg
Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit;Chocolade (250g)
1 verpakkingen waterkers;1 verpakking waterkers;20ycled waterkers
0.25 venkels;0.25 venkels;Venkel (25 g)
0.5 kl kruidnagel;0.5kl kruidnagel;Kruidnagel, 0,5 kg
3 wittewijnazijn;3 wittewijnazijn;3 g wittewijnazijn
5 wittewijnazijn;5 wittewijnazijn;Wittewijnazijn (300 ml)
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;Kerstomaten 400 g
1.5 koppen rijst;1.5 koppen rijst;Rijst (1500 gram)
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetl. zachte mosterd
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;Peterselie (0.5 kg)
250 g pruimtomaten kleine;250g pruimtomaten;250 gram pruimtomaten
bloemkolen;1 bloemkool;* Bloemkool (200g)
4 Boni bio citroenen;4 Boni bio citroenen;Citronen, 4 podeel (bollen)
0.5 schaaltje waterkers;0.5 schaaltje waterkers;Waterkers (50 g)
5 eieren;5 eieren;Eieren 5 stukken
babypeertjes (bokaal);babypeertjes (bokaal);1. Babypeertjes (bokoal)
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;Braziliaanse bakpatatjes (200g)
15 witte asperge;15 witte asperges;15 grams asperges
6 stengel bleekselder;6 stengels bleekselder;6 stengels bleekselder
80 g mango;80g mango;80 g mango
125 ml zure room;125ml zure room;125 ml zuur(image)
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;Olijfolie (240 ml)
70 g fijne suiker;70g fijne suiker;Suiker, 70 g
1 dl runderfond (bokaal);1 dl runderfond in bokaal;Runderfond (250 g)
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;Halfgedroogde tomaten (110 g)
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;* Pizza deeg (2 verpakkingen)
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600 g diepvries Alaska pollak
2 belgica-appelen;2 belgica-appelen;2 appelen (stuk)
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;250 g Alaska-pollak (diepvries)
80 g panko;80g panko;80 g panko
40 g honing;40g honing;Honing: 40 g
100 ml ketjap manis;100ml ketjap manis;100 ml ketjap manis
1 el zwarte peperbollen;1 el zwarte peperbollen;1 el zwarte peper (60 g)
300 g braambessen;300g braambessen;300 g braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;Aardappel: 4, stuk
little gem (slaharten);little gem;Little Gem slagerij, 200 gram
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;Gekookte ham (sneetjes): 400 g
0.5 koffiel grenadine;0.5 koffielepel grenadine;Grenadine (500 gram)
4 cl cognac;4cl cognac;Cognac (40 cl)
10 g groene-aspergepunten;10g groene-aspergepunten;Asperages, 10 g
100 g boter;100g boter;Boter (100 g)
20 champignons;20 champignons;Champignons (200 g)
6 smarties rode;6 smarties rode;Smarties rode, 6
300 g seitan blok;300g seitan blok;300g seitan
1 kg kalkoengebraad;1kg kalkoengebraad;1 kg kalkoengebraad
200 g broccolirijst;200g broccolirijst;Broccolirijst 200 g
1 takjes kervel;1 takje kervel;Kervel (1takje)
200 g spirelli tricolore;200g spirelli tricolore;200 g spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;Ansjovis (4 x 100gr tbp)
1 kg mascarpone;1kg mascarpone;1 kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;* 3 eetl mayonaise (of plantaardig alternatief voor yoghurt op basis van kokos), 30g
2 el suikerpoeder;2 el suikerpoeder;Suikerpoeder 2 gram
5 pruimen grote;5 pruimen;5 pruimen (grote)
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;* Gedroogde tomaten: 10 stuk
4 eetl. patisseriebloem;4 eetl. patisseriebloem;Patisseriebloem (250g)
rode uien;rode uien;Rode uien, 200 gram
8 kastanjechampignon;8 kastanjechampignons;8 kastanjechampignon (grootte onbekend)
1 kleine spitskool;1 kleine spitskool;1 spitskool (stielen 100-150 g)
0.5 kg aardappelen;500g aardappelen;Aardappelen (0.5 kg)
10 g verse gember;10g verse gember;Gember: 10 g
70 g rode pesto (versmarkt);70g rode pesto versmarkt;Rode pesto (70 g)
120 g verse garnalen;120g verse garnalen;Garnaal (120 g)
1 eetl chilisaus facultatief;1 eetlepel chilisaus;Chili saus (100g)
400 g nestnoedels;400g nestnoedels;400 g nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;Rucola (0.5 verpakking)
2 peren Durondeau;2 peren Durondeau;2 peren (120g)
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;"Artisjokken met steel (550 g)
+ Olijfolie (3 eetlepels)"
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;300 gram bladerdeeg (vers)
0.16 knolselder;0.16 knolselder;0.16 gram knolselder
3 grote courgettes;3 grote courgettes;Courgettes (3 stuks)
1 el zoete chilisaus;1 el zoete chilisaus;1 el zoete chilisaus
12 lasagnevellen;12 lasagnevellen;Lasagnevellen: 12 stukken
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800 g varkensstoofvlees
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;Groene peper (35 g)
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;1. Kotelet 4 x 50 g
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;Kippenbouillon (20g)
250 g blauwe kaas;250g blauwe kaas;250 g blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;Kruidenkaas (1 eenheid)
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;25 g tournedos
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;265 g chocolade
500 g patisseriebloem;500g patisseriebloem;500 g patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;Turks brood (4 stuks)
1 el ras el hanout;1 el ras el hanout;Ras el hanout (1 kg)
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;Bladerdeeg (1 rol, diepvries)
345 g bloem;345g bloem;350 g bloem
500 g runderwangen;500g runderwangen;Runderwangen, 500 g
3 limoen;3 limoen;3 limoenen
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;* Zeewiertapenade (100 g)
165 ml kokosmelk (blik);165ml kokosmelk in blik;Kokosmelk (165 ml, blik)
2 el yoghurt;2 el yoghurt;200g yoghurt
8 tortillawrap;8 tortillawraps;1. Tortilla wraps (vierkante meter)
20 cl sinaasappellimonade;20cl sinaasappellimonade;Sinaasappellimonade: 2000 ml
6 dl cranberrydrink;6dl cranberrydrink;Cranberry drink (600g)
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;Droogde chilipepervlokjes, 15 g
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;Zoetzure saus met ananas en groenten: 500 g
5 plakje chorizo;5 plakjes chorizo;Chorizo (5 stukjes)
1.5 cl droge witte wijn;1.5cl droge witte wijn;Droog witte wijn (1.5 cl)
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;1. Spinazie, 80 gram
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;Pecorino-saus (340 g)
600 g gesneden prei (diepvries);600g gesneden prei diepvries;Prei (gesneden, diepvries) - 600 g
300 g erwten (diepvries);300g erwten diepvries;300 g erwten (diepvries)
1 handvol pistachenoten;1 handvol pistachenoten;1 x handvol = 25 gram pistachenoten
1 kl witte peper;1 kl witte peper;1 gram witte peper
12 kiwibessen;12 kiwibessen;12 kiwi's
5 g verse bladpeterselie;5g verse bladpeterselie;Peterselie: 5 g
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;6 stuks Ganda-ham
15 cl cider Belgische;15cl cider Belgische;BELGISCHE CIDERG-peer (15 cl)
25 ml citroensap;25ml citroensap;Citroensap (25 ml)
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;1 x bieslook (diepvries)
32 Spar mosselen;32 Spar mosselen;32 mosselen (stuk)
aluminiumfolie of carta folie;aluminiumfolie;Aluminiumfolie
1 Boni Selection krab;1 Boni Selection krab;1000 gram krab (Boni Selection)
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;300g ahornsiroop or vloeibare honing
400 g shiitake;400g shiitake;400 g shiitake
1 verpakking feta;1 verpakking feta;1 verpakking feta (1000 g)
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;500 gram hamburgerbroodjes
300 gekookte kreeften (diepvries) Â± 300 g elk;300 gekookte kreeften diepvries;Kookt kreeft (diepvries) 300 g
5 vel brickdeeg;5 vel brickdeeg;Brickdeeg (500g)
2 el;2 el;2 gram
2 stengels witte selder;2 stengels witte selder;Selder: 2 stukken
3 zoetzure augurk;3 zoetzure augurk;Augurken (100g)
250 g zeezout;250g zeezout;250 gram zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;Blanche de Namur (witbier) - 200 gram
takjes verse tijm;takjes verse tijm;60 gram tijm
6 blauwe bessen;6 blauwe bessen;6 bessen
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300 g tomatenvlees
scheutje rode wijnazijn;scheutje rode wijnazijn;Rode wijnazijn (125 ml)
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;1 eetl kruidenmix gram
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 eetl 250g yoghurt
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;Knoflookpasta (250g)
8 g kandijsiroop;8g kandijsiroop;Kandijsiroop (8 g)
zwarte olijven zonder pit;zwarte olijven zonder pit;400 gram zwarte olijven
250 g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt;250 g gezouten spek
0.5 kop bloem;0.5 kop bloem;500g bloem
6 honingtomaatjes;6 honingtomaatjes;Honington, 360g
6 el bloemsuiker;6 el bloemsuiker;6 g bloemsuiker
2 komkommer;2 komkommers;2 komkommers (250g)
130 g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes;Tarwegraantjes (130g)
3.5 dl halfvolle melk;350ml halfvolle melk;Melk (3,5 dl)
0.33 ananassen;0.33 ananassen;Ananassen: 0,33 kg
1 plantjes verse tijm;1 plantje verse tijm;Tijm 1 stuk(s)
450 g gekookte rode biet;450g gekookte rode biet;Rode biet (450 g)
3 sneetje toastbrood;3 sneetjes toastbrood;1 stuk beschreven toastbrood
200 g blauwgeaderde kaas;200g blauwgeaderde kaas;200 g blauwgeaderde kaas
1.2 kg gepelde tomaten (blik);1.2kg gepelde tomaten in blik;1 kg tomaten (blik)
1 el gedroogde tijm;1 el gedroogde tijm;1 gram tijm
200 g boekweitmeel volkoren;200g boekweitmeel volkoren;200 g boekweitmeel
4 bollen mojitosorbet (diepvries);4 bollen mojitosorbet diepvries;Mojitosorbet (diepvries) - 4 bollen
6 verse fijne lasagnebladen;6 verse lasagnebladen;Lasagnebladen, 6 stuk
4 kalfsescalopes (beenhouwerij);4 kalfsescalopes beenhouwerij;Kalfsescalopes (beenhouwerij)
2 koffielepel komijnzaadjes;2 koffielepels komijnzaadjes;2 g komijnzaadjes
2 koffiel ProvenÃ§aalse kruidenmix (molen);2 koffiel ProvenÃ§aalse kruidenmix (molen);Koffiel (200g)
1.5 kg aardappelnootjes (diepvries);1.5kg aardappelnootjes diepvries;Aardappelnootjes (diepvries) (1,5 kg)
100 g walnootpitten;100g walnootpitten;Walnootpitten (100 g)
200 g vermicelli;200g vermicelli;Vermicelli 200 g
4 dl magere melk;400ml magere melk;Melk (400 ml)
165 g boudoirs (lange vingers);165g boudoirs;165 g boudoirs (lange vingers)
10 el zonnebloemolie;10 el zonnebloemolie;500 g zonnebloemolie
200 g gemengd gehakt;200g gemengd gehakt;200 g gemengd gehakt
400 g pasta naar keuze;400g pasta;Pasta naar keuze (400 g)
400 g macaroni volkoren;400g macaroni volkoren;400 g macaroni
700 ml rundbouillon;700ml rundbouillon;Rundbouillon (700 ml)
1 takjes koriander;1 takje koriander;Koriander (10 gram)
Romeinse slaharten;Romeinse slaharten;500 g slachthervábborn
verse kokosnootstukjes;verse kokosnootstukjes;Kokosnootsstukjes 200 g
1 l Heide Atelier vanilleroomijs;1 l Heide Atelier vanilleroomijs;Vanilleroomijs (1 l)
1 dl droge vermouth;1 dl droge vermouth;35 g droge vermouth
200 g Atlantische zalmsteaks (diepvries) of zalmhaasjes;200g Atlantische zalmsteaks diepvries;200 g zalm (diepvries)
250 broccoli's of 400 g broccoliroosjes (diepvries);250 broccoli's;400 g broccoli
300 g Alaska-pollakfilets (diepvries);300g Alaska-pollakfilets diepvries;300 g Alaska-pollakfilets
12 Spar Frozen Selection rÃ¶sti;12 stuks Spar Frozen Selection rÃ¶sti;Rösti (1 stuks)
8 eetlepel diepvries rode vruchten;8 eetlepels diepvries rode vruchten;Rode vruchten (800 g)
1.5 el rietsuikersiroop;1.5 el rietsuikersiroop;Rietsuikersiroop: 150g
7 dl water;700ml water;Water, 700 g
4 eetl. verse geitenkaas;4 eetl. verse geitenkaas;Geitenkaas (400 g)
3 passievrucht;3 passievrucht;Passievruchten (300g)
2 spieringen (beenhouwerij);2 spieringen beenhouwerij;2 spieringen (beenhouwerij, 450g)
6 takjes verse rozemarijn;6 takjes verse rozemarijn;Rozemarijn (6 takjes)
2 blaadjes kropsla;2 blaadjes kropsla;Kropsla (2 blaadjes)
4 cigarette koekjes;4 cigarette koekjes;* Cigarette koekjes: 4 stuk
1 slamix Mesclun;1 slamix Mesclun;Slamix Mesclun: 200 g
0.5 miniwatermeloen;0.5 miniwatermeloen;Watermeloen, 500 gram
1.5 dl hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink;Hazelnoot-amandelsap (1.5 dl)
40 g pompoenpitten;40g pompoenpitten;40 g pumpelpollen
400 g spirelli of andere korte pasta;400g spirelli;400 g pasta
4 sneden belegen kazen;4 sneden belegen kaas;Belegen kaas (400g)
100 g rode vruchtenmix (diepvries);100g rode vruchtenmix diepvries;Rode vruchtenmix (100 g)
100 g boekweitbloem;100g boekweitbloem;100g boekweitbloem
1 koppen bloem;1 kop bloem;250g bloem
4 stukken zeewolffilets (diepvries) van ongeveer 20 cm lang;4 stukken zeewolffilets diepvries;Zeewolffilets (diepvries), 4 stukken
3 eetl sojadrinks;3 eetl sojadrink;Soja, 3 eetl
150 g groene linzen;150g groene linzen;150 g groene linzen
230 g gerookte forelfilets;230g gerookte forelfilets;Forelfilets (230 g)
100 g Nazareth-kaas of andere abdijkaas;100g Nazareth-kaas;100 g nazarethkaas
6 sneetjes ontvette gekookte hesp (beenhouwerij);6 sneetjes ontvette gekookte hesp beenhouwerij;Ontvette gekookte hesp (6 gram)
340 g witte chocolade;340g witte chocolade;340 g witte chocolade
70 g amandelpoeder;70g amandelpoeder;Amandelpoeder: 70 g
1 g zalmfilet;1g zalmfilet;250g zalmfilet
680 g kikkererwten (blik);680g kikkererwten in blik;680 g kikkererwten
1 verpakking chop choy wok;1 verpakking chop choy wok;300g pakket, voor verse gebruik
10 druiven;10 druiven;10 drupen
50 g gemalen parmezaan;50g gemalen parmezaan;Parmezaan, 50 g
4 bosjes waterkers;4 bosjes waterkers;Waterkers (4 stuks)
1 Turks plat brood;1 Turks plat brood;Turks plat brood (1 stuk)
0.5 stengel selder;0.5 stengel selder;Selder (0,5 stuk)
200 g witte druiven;200g witte druiven;200 g witte druiven
6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij);Hamburgervlees 1130 g
2 dunne lendes;2 dunne lendes;Beef, 2 stukken
140 g tomatenpuree (blikje);140g tomatenpuree in blik;Tomatenpuree (140 g)
5 g agar agar;5g agar agar;Agar agar (5 g)
500 g verse pasta bv tagliatelle;500g verse pasta;500 g tagliatelle
185 g rodebietenspread;185g rodebietenspread;Rode bietenspread: 185 gram
5 cl melk;5cl melk;Melk: 500 g
250 g zalm;250g zalm;250 gram zalm
40 g zeezout;40g zeezout;40 g zeezout
2 kl kappertjes (bokaal);2 kl kappertjes in bokaal;2 kdl kappertjes
200 g fajitasaus (bokaal);200g fajitasaus in bokaal;Fajitasaus (200 g)
40 g suiker;40g suiker;40 g suiker
1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree;Tomatenpuree (150g)
800 g suiker;800g suiker;Suiker (800 g)
16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven;* 445g zwarte olijven
4 gele courgettini;4 gele courgettini;Courgetten: 400 g
1.5 blokje kippenbouillon;1.5 blokjes kippenbouillon;1.5 g bouillon (kippen)
1 grote bos verse dille;1 grote bos verse dille;Dille: 1 stuk
4 kl citroensap;4kl citroensap;Citroensap (1)/250 ml
15 ml rijstazijn;15ml rijstazijn;Rijstazijn (15 ml)
60 g ricotta;60g ricotta;Ricotta (60 g)
1 koffiel dille (gedroogd);1 koffielepel dille gedroogd;1 koffiel dille (gedroogd)
33 cl bruin bier naar keuze;33cl bruin bier;Bruin bier (33 cl)
