input;actual;output
12 verpakking groene asperges;12 verpakkingen groene asperges;Groene asperges: 12 stuks
20 crackers met olijven;20 crackers met olijven;* Olijven (200 g)
2 blik rode bonen;2 blikken rode bonen;Rode bonen (2 blik)
5 kg pruimen;5kg pruimen;5 kg pruimen
1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel;Canel 5 g
400 g pasta bv farfalle of penne;400g pasta;Pasta (400 g)
0.5 koffielepel zachte mosterd;0.5 koffielepel zachte mosterd;0.5 gram zachte mosterd
"10 zongedroogde tomaten (versmarkt; tomatenmarinade) met basilicum";10 zongedroogde tomaten versmarkt tomatenmarinade met basilicum;Zongedroogde tomaten: 1 kg
vers stokbrood;vers stokbrood;"* brood (150 g)
* water (100 ml)
* suiker (3 g)
* zout (1 g)
* gist (0,5 g)
* olie (10 ml)
* bio *kamrading*"
3 blokjes vetarme groentebouillon;3 blokjes vetarme groentebouillon;300g groentebouillon
4 stukken prei;4 stukken prei;Prei: 400 g
Spar garnalen;Spar garnalen;* Garnalen (1 kg)
150 g blonde basterdsuiker;150g blonde basterdsuiker;150 g suiker
3 varkenssneden (beenhouwerij);3 varkenssneden beenhouwerij;3000 gram
50 ml Smeets extra;50ml Smeets extra;Smeets extra 50 ml
5 mastellen;5 mastellen;Mastellen (5 stukken)
ijsblokjes facultatief;ijsblokjes;IJsblokjes (100 stuks)
4 eetlepel tomatenstukjes (blik);4 eetlepels tomatenstukjes in blik;Tomatenstukjes (4 eetlepels)
12 zwarte olijf zonder pit;12 zwarte olijven zonder pit;12 gram zwarte olijf zonder pit
8 verse korianderblaadjes;8 verse korianderblaadjes;Koriander 8 gram
gegaarde witlofstronkjes;gegaarde witlofstronkjes;Witloofstronkjes (1 kg)
2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder;Sumakpoeder: 250 g
4 eetlepels muntsiroop;4 eetlepels muntsiroop;Muntsiroop (4 eetlepels)
1 geitenkaas stronkje;1 geitenkaas stronkje;Geitenkaas (1 stronkje)
420 g mini-krielaardappelen met marinade;420g mini-krielaardappelen met marinade;Mini-krielaardappelen: 420 g
1 kop quinoa;1 kop quinoa;1 kop quinoa (250g)
6 grote vastkokende aardappelen;6 grote vastkokende aardappelen;Aardappelen: 6 grote, 600 gram
Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit;1 x chocoladestif 250g
1 verpakkingen waterkers;1 verpakking waterkers;250g waterkers
0.25 venkels;0.25 venkels;250 gram venkel
0.5 kl kruidnagel;0.5kl kruidnagel;Kruidnagel 500g
3 wittewijnazijn;3 wittewijnazijn;3 gram witte wijnazijn
5 wittewijnazijn;5 wittewijnazijn;Wittewijnazijn (250ml)
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;Kerstomaten 400g
1.5 koppen rijst;1.5 koppen rijst;Rijst (375g)
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetl. mosterd (zoet)
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;Peterselie 0,5 kg
250 g pruimtomaten kleine;250g pruimtomaten;Pruimtomaten: 250 g
bloemkolen;1 bloemkool;300 gram bloemkool
4 Boni bio citroenen;4 Boni bio citroenen;4 citroenen (180g) bio
0.5 schaaltje waterkers;0.5 schaaltje waterkers;Waterkers: 50 gram
5 eieren;5 eieren;Eieren (5)
babypeertjes (bokaal);babypeertjes (bokaal);* Bartels pureejes haarappel (330 ml)
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;2 x 200g Brasilische bakpatatjes
15 witte asperge;15 witte asperges;300g asperges, witte
6 stengel bleekselder;6 stengels bleekselder;6 gram bleekselder
80 g mango;80g mango;Mango, 80 gram
125 ml zure room;125ml zure room;125 ml, zure room
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;Olijfolie (250ml)
70 g fijne suiker;70g fijne suiker;70 g suiker
1 dl runderfond (bokaal);1 dl runderfond in bokaal;Runderfond (1 dl)
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;Halfgedroogde tomaten (110 g)
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg (400 g)
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600 g alaska pollak
2 belgica-appelen;2 belgica-appelen;2 appels (120g)
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;Alaska pollak (diepvries) 250 g
80 g panko;80g panko;80 g panko
40 g honing;40g honing;40 g honing
100 ml ketjap manis;100ml ketjap manis;Ketjap manis (100 ml)
1 el zwarte peperbollen;1 el zwarte peperbollen;1 el *zwarte peper* (50 g)
300 g braambessen;300g braambessen;300 g braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;Aardappelen 400g
little gem (slaharten);little gem;Little Gem lettuce (200 g)
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;400 g gekookte ham
0.5 koffiel grenadine;0.5 koffielepel grenadine;Grenadine 500g
4 cl cognac;4cl cognac;Cognac (4 cl)
10 g groene-aspergepunten;10g groene-aspergepunten;Asperges, 10 g
100 g boter;100g boter;100 g boter
20 champignons;20 champignons;20 stuks
6 smarties rode;6 smarties rode;Smarties rode: 6 stuks
300 g seitan blok;300g seitan blok;300 g seitan
1 kg kalkoengebraad;1kg kalkoengebraad;1 kg kalkoen
200 g broccolirijst;200g broccolirijst;Broccolirijst (200 g)
1 takjes kervel;1 takje kervel;Kervel (10 stuks)
200 g spirelli tricolore;200g spirelli tricolore;200 g spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;4 x ansjovis (4 blikje)
1 kg mascarpone;1kg mascarpone;1 kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;* 3 eetlepels mayonaise (30g)
2 el suikerpoeder;2 el suikerpoeder;200 g suikerpoeder
5 pruimen grote;5 pruimen;Pruimen: 500 gram
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;10 gram gesneden gedroogde tomaat + 25 milliliter olie
4 eetl. patisseriebloem;4 eetl. patisseriebloem;400 g patisseriebloem
rode uien;rode uien;5 stuks rode uien, 12-15 cm, bio
8 kastanjechampignon;8 kastanjechampignons;Kastanjechampignon (8 stuks)
1 kleine spitskool;1 kleine spitskool;1 spitskool (ca. 200g)
0.5 kg aardappelen;500g aardappelen;0.5 kg aardappelen
10 g verse gember;10g verse gember;10 g gember
70 g rode pesto (versmarkt);70g rode pesto versmarkt;Rode pesto: 70 g
120 g verse garnalen;120g verse garnalen;Verse garnalen (120 g)
1 eetl chilisaus facultatief;1 eetlepel chilisaus;1 x chilisaus (facultatief)
400 g nestnoedels;400g nestnoedels;400 g nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;Rucola (0.5 verpakkingen)
2 peren Durondeau;2 peren Durondeau;2 peren
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;Artisjokken 550 g, steel (450 g)
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;300g bladerdeeg
0.16 knolselder;0.16 knolselder;0.16 gram knolselder
3 grote courgettes;3 grote courgettes;Courgettes (1 groot)
1 el zoete chilisaus;1 el zoete chilisaus;1 dl zoete chilisaus
12 lasagnevellen;12 lasagnevellen;Lasagnevellen (12 stuks)
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800 g varkensstoofvlees
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;Groene peperbolletjes (35 g)
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;* Gebraden koteletten: 400 gram
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;Kippenbouillon (50g)
250 g blauwe kaas;250g blauwe kaas;250 g blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;Kruidenkaas (2 el)
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;25 g tournedos
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;Pure chocolade (265 g)
500 g patisseriebloem;500g patisseriebloem;500 g patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;Broodjes (4 stuks)
1 el ras el hanout;1 el ras el hanout;1 el ras el hanout (tbd)
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;1 rollen (bladerdeeg, 250g, diepvries)
345 g bloem;345g bloem;Bloem: 345 g
500 g runderwangen;500g runderwangen;500 g runderwangen
3 limoen;3 limoen;3 limoenen (300g)
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;1 x 30g zeewiertapenade
165 ml kokosmelk (blik);165ml kokosmelk in blik;Kokosmelk (165 ml)
2 el yoghurt;2 el yoghurt;2 el yoghurt (200g)
8 tortillawrap;8 tortillawraps;1. Tortilla's (8 stuks)
20 cl sinaasappellimonade;20cl sinaasappellimonade;20 cl sinaasappelmeer,yeast
6 dl cranberrydrink;6dl cranberrydrink;Cranberry drink (6dl)
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;0,5 kilogram dried chili flakes
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;Zoetzure saus met ananas en groenten: 500 g
5 plakje chorizo;5 plakjes chorizo;Chorizo, 5 stuk
1.5 cl droge witte wijn;1.5cl droge witte wijn;Witte wijn (1,5 cl)
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;Bladspinazie (800 gram)
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;340 g pastasaus
600 g gesneden prei (diepvries);600g gesneden prei diepvries;Prei (600 g)
300 g erwten (diepvries);300g erwten diepvries;300 g erwten
1 handvol pistachenoten;1 handvol pistachenoten;Pistachenoten (10g)
1 kl witte peper;1 kl witte peper;1 kg witte peper
12 kiwibessen;12 kiwibessen;12 kiwibessen
5 g verse bladpeterselie;5g verse bladpeterselie;Peterselie (5 g)
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;1 x 60 gram Ganda-ham (vers)
15 cl cider Belgische;15cl cider Belgische;15 g cider beltisch
25 ml citroensap;25ml citroensap;Citroensap: 25 ml
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;500 g diepvries bieslook
32 Spar mosselen;32 Spar mosselen;32 gram mosselen
aluminiumfolie of carta folie;aluminiumfolie;* Aluminiumfolie (1 rol)
1 Boni Selection krab;1 Boni Selection krab;1. Krab (100 g)
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;3 eetl honing (gram)
400 g shiitake;400g shiitake;400 g shiitake
1 verpakking feta;1 verpakking feta;1 pakket feta (ca. 200 g)
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;* Hamburgerbroodjes: 4, stuk
300 gekookte kreeften (diepvries) ± 300 g elk;300 gekookte kreeften diepvries;Kokte kreeften (diepvries) 90.000 g
5 vel brickdeeg;5 vel brickdeeg;Brickdeeg: 500 g
2 el;2 el;Onvoldoende informatie! Geef me alsjeblieft het complete ingrediëntenlijst met hoeveelheden en eenheden.
2 stengels witte selder;2 stengels witte selder;2 stukken witte selder
3 zoetzure augurk;3 zoetzure augurk;1. Augurk (280g)
250 g zeezout;250g zeezout;250 g zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;Witbier (200 ml)
takjes verse tijm;takjes verse tijm;Tijm (20 gram)
6 blauwe bessen;6 blauwe bessen;6 blauwe bessen, stuk
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300 g tomatenvlees
scheutje rode wijnazijn;scheutje rode wijnazijn;500 ml rode wijnazijn
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;1 eetl Mexicaanse chili (kruidenmix)
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 volle yoghurt gramnatural
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;"Knoflookpasta (20 gram)
Zonnebloemolie (100 gram)"
8 g kandijsiroop;8g kandijsiroop;8 g kandijsiroop
zwarte olijven zonder pit;zwarte olijven zonder pit;120 g schwarze Oliven ohne Stein
250 g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt;Spekblokjes: 250 g
0.5 kop bloem;0.5 kop bloem;250 gram bloem
6 honingtomaatjes;6 honingtomaatjes;Honingtomaatjes: 6 stuk
6 el bloemsuiker;6 el bloemsuiker;6 g bloemsuiker
2 komkommer;2 komkommers;2 komkommer (250g)
130 g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes;Tarwegraan (130g)
3.5 dl halfvolle melk;350ml halfvolle melk;Melk: 350 g
0.33 ananassen;0.33 ananassen;Ananassen: 0,33 kg
1 plantjes verse tijm;1 plantje verse tijm;1 stuk tijm
450 g gekookte rode biet;450g gekookte rode biet;450 gram gekookte rode bieten
3 sneetje toastbrood;3 sneetjes toastbrood;Brood (3 stukken)
200 g blauwgeaderde kaas;200g blauwgeaderde kaas;200 g blauwgeaderde kaas
1.2 kg gepelde tomaten (blik);1.2kg gepelde tomaten in blik;1.2 kg tomaten (blik)
1 el gedroogde tijm;1 el gedroogde tijm;Tijm (10 g)
200 g boekweitmeel volkoren;200g boekweitmeel volkoren;Boekweitmeel 200 g
4 bollen mojitosorbet (diepvries);4 bollen mojitosorbet diepvries;Mojitosorbet (diepvries) 4 bollen
6 verse fijne lasagnebladen;6 verse lasagnebladen;Lasagnebladen: 6 st.
4 kalfsescalopes (beenhouwerij);4 kalfsescalopes beenhouwerij;Kalfsescalopes: 4 stukken
2 koffielepel komijnzaadjes;2 koffielepels komijnzaadjes;Komijnzaadjes (2 gram)
2 koffiel Provençaalse kruidenmix (molen);2 koffiel Provençaalse kruidenmix (molen);Provençaalse kruidenmix (2 g)
1.5 kg aardappelnootjes (diepvries);1.5kg aardappelnootjes diepvries;Aardappelen (1,5 kg)
100 g walnootpitten;100g walnootpitten;Walnootpitten (100 g)
200 g vermicelli;200g vermicelli;200 g vermicelli
4 dl magere melk;400ml magere melk;Melk (400 ml)
165 g boudoirs (lange vingers);165g boudoirs;165 g boudoirs, lange vingers
10 el zonnebloemolie;10 el zonnebloemolie;Zonnebloemolie (10g)
200 g gemengd gehakt;200g gemengd gehakt;200 g gemengd gehakt
400 g pasta naar keuze;400g pasta;400 g pasta
400 g macaroni volkoren;400g macaroni volkoren;400 g macaroni full grain
700 ml rundbouillon;700ml rundbouillon;Rundbouillon: 700 ml
1 takjes koriander;1 takje koriander;1 takje koriander
Romeinse slaharten;Romeinse slaharten;* Romeinse salsiccia (400 g)
verse kokosnootstukjes;verse kokosnootstukjes;* 100 g kokosnootstukjes
1 l Heide Atelier vanilleroomijs;1 l Heide Atelier vanilleroomijs;Vanilleroomijs (1 liter)
1 dl droge vermouth;1 dl droge vermouth;1 dl difficile hoofdingrediënt
200 g Atlantische zalmsteaks (diepvries) of zalmhaasjes;200g Atlantische zalmsteaks diepvries;200 gram zalm
250 broccoli's of 400 g broccoliroosjes (diepvries);250 broccoli's;Broccoliroosjes 400 g
300 g Alaska-pollakfilets (diepvries);300g Alaska-pollakfilets diepvries;300 g Alaska-pollakfilets
12 Spar Frozen Selection rösti;12 stuks Spar Frozen Selection rösti;Rösti (250g)
8 eetlepel diepvries rode vruchten;8 eetlepels diepvries rode vruchten;Rode vruchten (8 eetlepels)
1.5 el rietsuikersiroop;1.5 el rietsuikersiroop;Rietsuikersiroop 150 gram
7 dl water;700ml water;Water: 700 gram
4 eetl. verse geitenkaas;4 eetl. verse geitenkaas;Geitenkaas (4 eetl, ± 120g)
3 passievrucht;3 passievrucht;Passievrucht (100 g)
2 spieringen (beenhouwerij);2 spieringen beenhouwerij;2 spieringen (beenhouwerij)
6 takjes verse rozemarijn;6 takjes verse rozemarijn;Rozemarijn (6 stuks)
2 blaadjes kropsla;2 blaadjes kropsla;Kropsla 2 stuk
4 cigarette koekjes;4 cigarette koekjes;Koekjes (4 stuks)
1 slamix Mesclun;1 slamix Mesclun;100 g Mesclun
0.5 miniwatermeloen;0.5 miniwatermeloen;Watermeloen, 0,5 kg
1.5 dl hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink;Hazelnoot-amandel 150 ml
40 g pompoenpitten;40g pompoenpitten;40 gram pompoenpitten
400 g spirelli of andere korte pasta;400g spirelli;* 400 g pasta
4 sneden belegen kazen;4 sneden belegen kaas;Belegen kazen (300g)
100 g rode vruchtenmix (diepvries);100g rode vruchtenmix diepvries;Rode vruchtenmix (100 g)
100 g boekweitbloem;100g boekweitbloem;Boekweitbloem (100 g)
1 koppen bloem;1 kop bloem;1 kg bloem
4 stukken zeewolffilets (diepvries) van ongeveer 20 cm lang;4 stukken zeewolffilets diepvries;Zeewolffilets (vier stukken) - 320g
3 eetl sojadrinks;3 eetl sojadrink;Doubletjes: Soydrink (3 eetl)
150 g groene linzen;150g groene linzen;150 g groene linzen
230 g gerookte forelfilets;230g gerookte forelfilets;Gerookte forelfilets: 230 g
100 g Nazareth-kaas of andere abdijkaas;100g Nazareth-kaas;100 g Nazareth-kaas
6 sneetjes ontvette gekookte hesp (beenhouwerij);6 sneetjes ontvette gekookte hesp beenhouwerij;Gekookt hesp, 6 stuks
340 g witte chocolade;340g witte chocolade;Witte chocolade (340 gram)
70 g amandelpoeder;70g amandelpoeder;70 g amandelpoeder
1 g zalmfilet;1g zalmfilet;Zalmfilet (1 g)
680 g kikkererwten (blik);680g kikkererwten in blik;Kikkererwten 680g
1 verpakking chop choy wok;1 verpakking chop choy wok;1 verpakking (kilogram) chop choy wok
10 druiven;10 druiven;10 druiven
50 g gemalen parmezaan;50g gemalen parmezaan;50 g parmesaan
4 bosjes waterkers;4 bosjes waterkers;Waterkers (100 g)
1 Turks plat brood;1 Turks plat brood;1 Turks plat brood 1 stuks
0.5 stengel selder;0.5 stengel selder;Selder (0.5 stuk)
200 g witte druiven;200g witte druiven;White grape - 200 g
6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij);Rundvlees 300g, varkensvlees 300g
2 dunne lendes;2 dunne lendes;2 dl lendes
140 g tomatenpuree (blikje);140g tomatenpuree in blik;Tomatenpuree (140g blikje)
5 g agar agar;5g agar agar;Agar agar (5 g)
500 g verse pasta bv tagliatelle;500g verse pasta;500 g Tagliatelle
185 g rodebietenspread;185g rodebietenspread;185 g rodebietenspread
5 cl melk;5cl melk;Melk: 500g
250 g zalm;250g zalm;250 g zalm
40 g zeezout;40g zeezout;Zeezout (40 g)
2 kl kappertjes (bokaal);2 kl kappertjes in bokaal;Kappertjes (200 g)
200 g fajitasaus (bokaal);200g fajitasaus in bokaal;200 g fajitasaus
40 g suiker;40g suiker;40 g sugaar
1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree;Tomatenpuree (30 g)
800 g suiker;800g suiker;Suiker (800 g)
16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven;* Zwarte olijven (250g)
4 gele courgettini;4 gele courgettini;Courgettini (4 stuks)
1.5 blokje kippenbouillon;1.5 blokjes kippenbouillon;Kippenbouillon (1.5 blokjes)
1 grote bos verse dille;1 grote bos verse dille;Dille (1)
4 kl citroensap;4kl citroensap;Citroensap (20 ml)
15 ml rijstazijn;15ml rijstazijn;Rijstazijn (15 ml)
60 g ricotta;60g ricotta;Ricotta (60 g)
1 koffiel dille (gedroogd);1 koffielepel dille gedroogd;Dille, 15 g
33 cl bruin bier naar keuze;33cl bruin bier;Bier (33 cl)
12 witte druiven;12 witte druiven;120 gram
700 g tomaten;700g tomaten;700 g tomaten
4 kippenbrochettes exotic (beenhouwerij);4 kippenbrochettes exotic beenhouwerij;Kippenbrochette (280g)
3 Voor  quiches met zalm en groenten:;3 Voor quiches met zalm en groenten;"Eieren 4 stuks
Zalm 300 gram
Groentes (peterselie, paprika, ui) 500 gram
KuipMother 300 gram
Mayonaise 50 gram
Tomaten 2 stuks
Zout 5 gram
Peper 3 gram"
4 spruitjes;4 spruitjes;4 spruitjes
8 kerstomaat;8 kerstomaat;Kerstomaat: 8
