input;actual;result
4 bollen mojitosorbet (diepvries);4 bollen mojitosorbet diepvries;4 bollen mojitosorbet diepvries
6 verse fijne lasagnebladen;6 verse lasagnebladen;6 verse fijne lasagnebladen
4 kalfsescalopes (beenhouwerij);4 kalfsescalopes beenhouwerij;4 kalfsescalopes beenhouwerij
2 koffielepel komijnzaadjes;2 koffielepels komijnzaadjes;2 koffielepels komijnzaadjes
2 koffiel Provençaalse kruidenmix (molen);2 koffiel Provençaalse kruidenmix (molen);2 koffielepels Provençaalse kruidenmix
1.5 kg aardappelnootjes (diepvries);1.5kg aardappelnootjes diepvries;1.5kg aardappelnootjes diepvries
100 g walnootpitten;100g walnootpitten;100g walnootpitten
200 g vermicelli;200g vermicelli;200g vermicelli
4 dl magere melk;400ml magere melk;400ml magere melk
165 g boudoirs (lange vingers);165g boudoirs;165g boudoirs
10 el zonnebloemolie;10 el zonnebloemolie;10 el zonnebloemolie
200 g gemengd gehakt;200g gemengd gehakt;200g gemengd gehakt
400 g pasta naar keuze;400g pasta;400g pasta
400 g macaroni volkoren;400g macaroni volkoren;400g macaroni volkoren
700 ml rundbouillon;700ml rundbouillon;700ml rundbouillon
1 takjes koriander;1 takje koriander;1 takje koriander
Romeinse slaharten;Romeinse slaharten;Romeinse slaharten
verse kokosnootstukjes;verse kokosnootstukjes;verse kokosnootstukjes
1 l Heide Atelier vanilleroomijs;1 l Heide Atelier vanilleroomijs;1l Heide Atelier vanilleroomijs
1 dl droge vermouth;1 dl droge vermouth;1 dl droge vermouth
200 g Atlantische zalmsteaks (diepvries) of zalmhaasjes;200g Atlantische zalmsteaks diepvries;200g Atlantische zalmsteaks diepvries
250 broccoli's of 400 g broccoliroosjes (diepvries);250 broccoli's;250 broccoli's
300 g Alaska-pollakfilets (diepvries);300g Alaska-pollakfilets diepvries;300g Alaska-pollakfilets diepvries
12 Spar Frozen Selection rösti;12 stuks Spar Frozen Selection rösti;12 Spar Frozen Selection rösti
8 eetlepel diepvries rode vruchten;8 eetlepels diepvries rode vruchten;8 eetlepels diepvries rode vruchten
1.5 el rietsuikersiroop;1.5 el rietsuikersiroop;1.5 el rietsuikersiroop
7 dl water;700ml water;700ml water
4 eetl. verse geitenkaas;4 eetl. verse geitenkaas;4 eetlepels verse geitenkaas
3 passievrucht;3 passievrucht;3 passievruchten
2 spieringen (beenhouwerij);2 spieringen beenhouwerij;2 spieringen beenhouwerij
6 takjes verse rozemarijn;6 takjes verse rozemarijn;6 takjes verse rozemarijn
2 blaadjes kropsla;2 blaadjes kropsla;2 blaadjes kropsla
4 cigarette koekjes;4 cigarette koekjes;4 cigarette koekjes
1 slamix Mesclun;1 slamix Mesclun;1 slamix Mesclun
0.5 miniwatermeloen;0.5 miniwatermeloen;0.5 miniwatermeloen
1.5 dl hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink
40 g pompoenpitten;40g pompoenpitten;40g pompoenpitten
400 g spirelli of andere korte pasta;400g spirelli;400g spirelli
4 sneden belegen kazen;4 sneden belegen kaas;4 sneden belegen kaas
100 g rode vruchtenmix (diepvries);100g rode vruchtenmix diepvries;100g rode vruchtenmix diepvries
100 g boekweitbloem;100g boekweitbloem;100g boekweitbloem
1 koppen bloem;1 kop bloem;1 kop bloem
4 stukken zeewolffilets (diepvries) van ongeveer 20 cm lang;4 stukken zeewolffilets diepvries;4 stukken zeewolffilets diepvries
3 eetl sojadrinks;3 eetl sojadrink;3 eetlepels sojadrink
150 g groene linzen;150g groene linzen;150g groene linzen
230 g gerookte forelfilets;230g gerookte forelfilets;230g gerookte forelfilets
100 g Nazareth-kaas of andere abdijkaas;100g Nazareth-kaas;100g Nazareth-kaas
6 sneetjes ontvette gekookte hesp (beenhouwerij);6 sneetjes ontvette gekookte hesp beenhouwerij;6 sneetjes ontvette gekookte hesp beenhouwerij
340 g witte chocolade;340g witte chocolade;340g witte chocolade
70 g amandelpoeder;70g amandelpoeder;70g amandelpoeder
1 g zalmfilet;1g zalmfilet;1g zalmfilet
680 g kikkererwten (blik);680g kikkererwten in blik;680g kikkererwten in blik
1 verpakking chop choy wok;1 verpakking chop choy wok;1 verpakking chop choy wok
10 druiven;10 druiven;10 druiven
50 g gemalen parmezaan;50g gemalen parmezaan;50g gemalen parmezaan
4 bosjes waterkers;4 bosjes waterkers;4 bosjes waterkers
1 Turks plat brood;1 Turks plat brood;1 Turks plat brood
0.5 stengel selder;0.5 stengel selder;0.5 stengel selder
200 g witte druiven;200g witte druiven;200g witte druiven
6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij)
2 dunne lendes;2 dunne lendes;2 dunne lendes
140 g tomatenpuree (blikje);140g tomatenpuree in blik;140g tomatenpuree in blik
5 g agar agar;5g agar agar;5g agar agar
500 g verse pasta bv tagliatelle;500g verse pasta;500g verse pasta
185 g rodebietenspread;185g rodebietenspread;185g rodebietenspread
5 cl melk;5cl melk;5cl melk
250 g zalm;250g zalm;250g zalm
40 g zeezout;40g zeezout;40g zeezout
2 kl kappertjes (bokaal);2 kl kappertjes in bokaal;2 kl kappertjes in bokaal
200 g fajitasaus (bokaal);200g fajitasaus in bokaal;200g fajitasaus in bokaal
40 g suiker;40g suiker;40g suiker
1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree
800 g suiker;800g suiker;800g suiker
16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven
4 gele courgettini;4 gele courgettini;4 gele courgettini
1.5 blokje kippenbouillon;1.5 blokjes kippenbouillon;1.5 blokjes kippenbouillon
1 grote bos verse dille;1 grote bos verse dille;1 grote bos verse dille
4 kl citroensap;4kl citroensap;4kl citroensap
15 ml rijstazijn;15ml rijstazijn;15ml rijstazijn
60 g ricotta;60g ricotta;60g ricotta
1 koffiel dille (gedroogd);1 koffielepel dille gedroogd;1 koffielepel gedroogde dille
33 cl bruin bier naar keuze;33cl bruin bier;33cl bruin bier
12 witte druiven;12 witte druiven;12 witte druiven
700 g tomaten;700g tomaten;700g tomaten
4 kippenbrochettes exotic (beenhouwerij);4 kippenbrochettes exotic beenhouwerij;4 kippenbrochettes exotic
3 Voor  quiches met zalm en groenten:;3 Voor quiches met zalm en groenten;3 quiches met zalm en groenten
4 spruitjes;4 spruitjes;4 spruitjes
8 kerstomaat;8 kerstomaat;8 kerstomaten
100 g zongedroogde mediterrane tomaten (versmarkt);100g zongedroogde mediterrane tomaten versmarkt;100g zongedroogde mediterrane tomaten versmarkt
4 chocolademoelleuxs;4 chocolademoelleuxs;4 chocolademoelleuxs
200 g peultjes (diepvries);200g peultjes diepvries;200g peultjes diepvries
4 peperkoek;4 peperkoek;4 peperkoek
6 takje platte peterselie;6 takjes platte peterselie;6 takjes platte peterselie
scheutje wijnazijn;scheutje wijnazijn;scheutje wijnazijn
2 bos kervel;2 bossen kervel;2 bos kervel
20 suikereitjes;20 suikereitjes;20 suikereitjes
8 takjes verse tijm;8 takjes verse tijm;8 takjes tijm
0.5 bevroren banaan;0.5 bevroren banaan;0.5 bevroren banaan
0.5 kleine appel;0.5 appel;0.5 kleine appel
2 eetlepel fijngesneden munt;2 eetlepels munt;2 eetlepels fijngesneden munt
10 grote aardperen;10 aardperen;10 grote aardperen
8 grote Charlotte aardappelen;8 Charlotte aardappelen;8 grote Charlotte aardappelen
8 grote tongfilet;8 tongfilet;8 grote tongfilet
1.5 eetlepels geraspte gember;1.5 eetlepels gember;1.5 eetlepels geraspte gember
50 g witte broden zonder korst;50g witte broden;50g witte broden zonder korst
1 grote rijpe avocado;1 avocado;1 grote rijpe avocado
3 kleine komkommers;3 komkommers;3 kleine komkommers
12.5 cl lauw water;12.5cl water;125ml water
20 aardappelkroketten voor in de oven (diepvries);20 aardappelkroketten diepvries voor in de oven;20 aardappelkroketten diepvries
8 el verse kaas (roomkaas);8 el verse roomkaas;8 el verse kaas
4 stuk Spar champignons;4 stuk Spar champignons;4 stuk champignons
1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes
0.5 flesje tonic (gin-tonic framboos);0.5 flesje tonic;0.5 flesje tonic
2 Boni bio kleine uien;2 Boni bio uien;2 Boni bio kleine uien
12 fijne sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham;12 fijne sneden Spar Italiaanse ham
5 Spar grote eidooiers;5 Spar eidooiers;5 Spar grote eidooiers
500 g Spar gerookte zalmrestjes;500g Spar gerookte zalm;500g Spar gerookte zalmrestjes
100 g witte asperges vers of diepvries;100g witte asperges vers;100g witte asperges
750 g Spar boter (topping);750g Spar boter;750g Spar boter
1.5 liter zelf getrokken kippenbouillon;1.5 liter kippenbouillon;1.5 liter kippenbouillon
270 g halfgedroogde kerstomaten in olie (versmarkt) + 4 eetl. olie uit de verpakking;270g halfgedroogde kerstomaten in olie versmarkt;270g halfgedroogde kerstomaten in olie versmarkt
3 cl puur cranberrysap bv Terschellinger;3cl puur cranberrysap;3cl cranberrysap
10 witte asperges (diepvries) of vers;10 witte asperges;10 witte asperges
200 g paprikareepjes vers of diepvries;200g paprikareepjes;200g paprikareepjes
2 kleine sjalotjes;2 sjalotjes;2 kleine sjalotjes
2 komkommer in plakjes;2 komkommers;2 komkommers
3 preiwitten groot;3 preiwitten;3 preiwitten
1 fles gekoelde Chardonnay;1 fles Chardonnay;1 fles gekoelde Chardonnay
500 g Belgische aardbeien;500g Belgische aardbeien;500g Belgische aardbeien
0.25 onbehandelde citroenen (bio)  koffiel geraspte schil;0.25 citroenen bio;0.25 onbehandelde citroenen bio
1 grote rammenas (ongeveer 350 gr);350g rammenas;1 grote rammenas
0.5 eetlepel fijngesneden verse basilicum;0.5 eetlepel verse basilicum;0.5 eetlepel fijngesneden verse basilicum
"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)";350g Atlantische zalmhaasjes diepvries;350g Atlantische zalmhaasjes diepvries
1 koffiel. basilicum versgesnipperd;1 koffielepel basilicum;1 koffielepel basilicum versgesnipperd
0.25 sap van  limoen;0.25 limoen;0.25 limoensap
20 gepelde en geblancheerde garnaalstaarten 'scampi' (diepvries);20 gepelde en geblancheerde scampi diepvries;20 gepelde en geblancheerde garnaalstaarten
1 zakjes slamix 'Mesclun' 175 g;175g zakje slamix 'Mesclun';1 zakje slamix 'Mesclun' 175g
1 dl Muscat de Rivesaltes (witte likeurwijn);1 dl Muscat de Rivesaltes;1 dl Muscat de Rivesaltes
411 blikken peren op sap 411 g/blik + 6 dl sap uit blikken;411g blikken peren op sap;411 blikken peren op sap
450 gekookte kreeften (diepvries) 500 g;500g gekookte kreeften diepvries;450 gekookte kreeften diepvries 500g
500 g zachte roomkaas;500g roomkaas;500g zachte roomkaas
60 g arrowroot (bindmiddel) facultatief;60g arrowroot bindmiddel;60g arrowroot
17.5 g mixed pepper selection (molen);17.5g mixed pepper selection;17.5g mixed pepper selection
1 klein blikjes Boni zwarte bonen;1 klein blik Boni zwarte bonen;1 klein blikje Boni zwarte bonen
300 g gekookte spaghetti;300g spaghetti;300g gekookte spaghetti
het hart van een bleekselder ( à 5 stengels);5 stengels bleekselder;5 stengels bleekselderij
komkommers in plakjes;komkommers;komkommers
1.8 kg konijn in stukken gesneden;1.8kg konijn;1.8kg konijn in stukken
enkele takken verse dragon en tijm;enkele takken verse dragon;enkele takken verse dragon
1 kg scampi’s (enkel schalen gebruiken);1kg scampi's;1kg scampi's
700 g biefstukken (beenhouwerij) extra dun;700g biefstukken beenhouwerij ;700g biefstukken beenhouwerij
2 dl melk of ongezoete plantaardige drink;200ml melk;200ml melk
"10 ananasschijven (blik) + 1;5 dl sap uit het blik";10 ananasschijven in blik;10 ananasschijven in blik
10 appel geschild en in blokjes;10 appels;10 appels
"10 konijn in stukken (diepvries) ± 1;3 kg";1.3kg konijn uit diepvries;1.3kg konijn in stukken diepvries
"1 schapenkaas uit de vlaamse ardennen; geraspt of in blokjes";1 stuk schapenkaas uit de Vlaamse Ardennen;1 schapenkaas
10 eetl. ontpitte krieken op siroop + 4 eetl siroop;10 eetl. ontpitte krieken op siroop;10 eetlepels ontpitte krieken op siroop
"10 g gepelde biefstukken (beenhouwerij) 3 cm dik; cat. 1; vers of; colruyt-diepvriesvlees";10g biefstukken beenhouwerij;10g gepelde biefstukken (beenhouwerij)
1 snuifje peper en zout;1 snuifje peper;1 snuifje peper
