input;actual;prediction
12 cl ananassap;12cl ananassap;12 cl ananassap
33 cl Rochefort 8;33cl Rochefort 8;1 fles Rochefort 8
150 g gekookte ham (sneetjes);150g gekookte ham sneetjes;150 g gekookte ham
Boni pizzasaus;Boni pizzasaus;Boni pizzasaus
500 g boterbonen (diepvries);500g boterbonen diepvries;500 g boterbonen diepvries
8 melkchocolade mignonettes;8 melkchocolade mignonettes;8 melkchocolade mignonettes
40 g noordzeegarnalen (versmarkt);40g noordzeegarnalen versmarkt;40 g noordzeegarnalen
2 el pikante tapenade (versmarkt);2 el pikante tapenade versmarkt;2 el pikante tapenade versmarkt
300 g couscous;300g couscous;300 g couscous
1 kg shiitake;1kg shiitake;1 kg shiitake paddenstoelen
2 cl gin;2cl gin;2 cl gin
1 potje gefrituurde uitjes;1 potje gefrituurde uitjes;1 potje gefrituurde uitjes
6 eetlepel appelmoes;6 eetlepels appelmoes;6 eetlepels appelmoes
2 voorgekookte kreeft;2 voorgekookte kreeft;2 gekookte kreeften
10 cl La Trappe Quadrupel;10cl La Trappe Quadrupel;10 cl La Trappe Quadrupel
4 koffiel tapenade van groene olijven (versmarkt);4 koffielepels tapenade van groene olijven versmarkt;4 bakken tapenade van groene olijven versmarkt
"1 wit toastbrood of gewoon wit brood; niet gesneden";1 wit toastbrood;1 wit brood (niet gesneden)
2 dl Troubadour Magma;2dl Troubadour Magma;2 dl Troubadour Magma
120 ml kriekbier;120ml kriekbier;120 ml kriekbier
2 dl visfond (bokaal);200ml visfond bokaal;2 dl visfond
1 blik artisjokharten;1 blik artisjokharten;1 blik artisjokharten
8 blaadje waterkers;8 blaadjes waterkers;8 blaadjes waterkers
4 cordon bleu (beenhouwerij);4 cordon bleu beenhouwerij;4 cordon bleu
150 g lichtbruine rietsuiker;150g lichtbruine rietsuiker;150 g rietsuiker
1 eetlepel vanillesuiker;1 eetlepel vanillesuiker;1 eetlepel vanillesuiker
6 platte oesters;6 platte oesters;6 oesters
40 g ananasstukjes op sap (blik);40g ananasstukjes op sap in blik;40 g ananasstukjes op sap blik
0.5 kastanjepompoenen;0.5 kastanjepompoenen;0,5 kastanjepompoen
400 g rundgehakt;400g rundgehakt;400 g rundgehakt
1 kg penne;1kg penne;1 kg penne
2 bokalen tomatenvlees met groenten (bokaal);2 bokalen tomatenvlees met groenten in bokaal;2 bokalen tomatenvlees met groenten
4 visbrochettes (diepvries);4 visbrochettes diepvries;4 visbrochettes diepvries
250 g gedroogde pruimen;250g gedroogde pruimen;250 g gedroogde pruimen
4 sneetjes pandaworsten;4 sneetjes pandaworsten;4 sneetjes pandaworsten
2 Ruby chocoladetruffels;2 Ruby chocoladetruffels;2 ruby chocoladetruffels
"40 g groene olijven; ontpit";"40g groene olijven; ontpit";40 g groene olijven ontpit
250 g volkoren bloem;250g volkoren bloem;250 g volkoren bloem
400 g schelvisfilet;400g schelvisfilet;400 g schelvisfilet
1 rietsuiker naar smaak;1 rietsuiker;1 rietsuiker
15 g passievruchtensiroop ();15g passievruchtensiroop;15 g passievruchtensiroop
1.2 zakje bakpoeder;1.2 zakjes bakpoeder;1,2 zakje bakpoeder
4 eetl gojibes;4 eetl gojibes;4 eetlepels gojibessen
0.5 kg ganzenvet;0.5kg ganzenvet;500 g ganzenvet
3 cl vermout;3cl vermout;3 cl vermout
12 verpakking groene asperges;12 verpakkingen groene asperges;12 bundels groene asperges
20 crackers met olijven;20 crackers met olijven;20 olijvencrackers
2 blik rode bonen;2 blikken rode bonen;2 blikken rode bonen
5 kg pruimen;5kg pruimen;5 kg pruimen
1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel
400 g pasta bv farfalle of penne;400g pasta;400 g pasta farfalle
0.5 koffielepel zachte mosterd;0.5 koffielepel zachte mosterd;0,5 koffielepel mosterd
"10 zongedroogde tomaten (versmarkt; tomatenmarinade) met basilicum";10 zongedroogde tomaten versmarkt tomatenmarinade met basilicum;10 zongedroogde tomaten in basilicummarinade
vers stokbrood;vers stokbrood;1 vers stokbrood
3 blokjes vetarme groentebouillon;3 blokjes vetarme groentebouillon;3 blokjes groentebouillon
4 stukken prei;4 stukken prei;4 stengels prei
Spar garnalen;Spar garnalen;300 g garnalen
150 g blonde basterdsuiker;150g blonde basterdsuiker;150 g basterdsuiker
3 varkenssneden (beenhouwerij);3 varkenssneden beenhouwerij;3 varkenssneden
50 ml Smeets extra;50ml Smeets extra;50 ml Smeets extra
5 mastellen;5 mastellen;5 mastellen
ijsblokjes facultatief;ijsblokjes;ijsblokjes
4 eetlepel tomatenstukjes (blik);4 eetlepels tomatenstukjes in blik;4 el tomatenstukjes uit blik
12 zwarte olijf zonder pit;12 zwarte olijven zonder pit;12 zwarte olijven zonder pit
8 verse korianderblaadjes;8 verse korianderblaadjes;8 verse korianderblaadjes
gegaarde witlofstronkjes;gegaarde witlofstronkjes;witlofstronkjes
2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder;2,5 eetlepels sumakpoeder
4 eetlepels muntsiroop;4 eetlepels muntsiroop;4 el muntsiroop
1 geitenkaas stronkje;1 geitenkaas stronkje;1 geitenkaas stronk
420 g mini-krielaardappelen met marinade;420g mini-krielaardappelen met marinade;420 g mini-krielaardappelen
1 kop quinoa;1 kop quinoa;1 kop quinoa
6 grote vastkokende aardappelen;6 grote vastkokende aardappelen;6 aardappelen
Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit;Dr. Oetker chocoladestiften wit
1 verpakkingen waterkers;1 verpakking waterkers;1 pakket waterkers
0.25 venkels;0.25 venkels;0,25 venkel
0.5 kl kruidnagel;0.5kl kruidnagel;0,5 kilogram kruidnagel
3 wittewijnazijn;3 wittewijnazijn;3 el wittewijnazijn
5 wittewijnazijn;5 wittewijnazijn;5 ml wittewijnazijn
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;18 halfgedroogde kerstomaten in olie
1.5 koppen rijst;1.5 koppen rijst;1,5 kop rijst
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetlepels zachte mosterd
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;0.5 bosjes peterselie
250 g pruimtomaten kleine;250g pruimtomaten;250 g kleine pruimtomaten
bloemkolen;1 bloemkool;1 bloemkool
4 Boni bio citroenen;4 Boni bio citroenen;4 citroenen bio
0.5 schaaltje waterkers;0.5 schaaltje waterkers;0,5 schaaltje waterkers
5 eieren;5 eieren;5 eieren
babypeertjes (bokaal);babypeertjes (bokaal);babypeertjes bokaal
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen bakpatatjes
15 witte asperge;15 witte asperges;15 witte asperges
6 stengel bleekselder;6 stengels bleekselder;6 stengels bleekselder
80 g mango;80g mango;80 g mango
125 ml zure room;125ml zure room;125 ml zure room
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;1 eetlepel olijfolie extra vierge
70 g fijne suiker;70g fijne suiker;70 g suiker
1 dl runderfond (bokaal);1 dl runderfond in bokaal;1 dl runderfond
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;110 g halfgedroogde tomaten
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600 g Alaska pollak diepvries
2 belgica-appelen;2 belgica-appelen;2 appelen
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;250 g Alaska pollak diepvries
80 g panko;80g panko;80 g panko
40 g honing;40g honing;40 g honing
100 ml ketjap manis;100ml ketjap manis;100 ml ketjap manis
1 el zwarte peperbollen;1 el zwarte peperbollen;1 eetlepel zwarte peperbollen
300 g braambessen;300g braambessen;300 g braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;4 aardappelen
little gem (slaharten);little gem;1 grote little gem
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;400 g gekookte ham
0.5 koffiel grenadine;0.5 koffielepel grenadine;0,5 l grenadine
4 cl cognac;4cl cognac;4 cl cognac
10 g groene-aspergepunten;10g groene-aspergepunten;10 g groene aspergepunten
100 g boter;100g boter;100 g boter
20 champignons;20 champignons;20 champignons
6 smarties rode;6 smarties rode;6 stuks rode smarties
300 g seitan blok;300g seitan blok;300 g seitan
1 kg kalkoengebraad;1kg kalkoengebraad;1 kg kalkoengebraad
200 g broccolirijst;200g broccolirijst;200 g broccolirijst
1 takjes kervel;1 takje kervel;1 bos kervel
200 g spirelli tricolore;200g spirelli tricolore;200 g spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;4 blikjes ansjovis
1 kg mascarpone;1kg mascarpone;1 kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;3 eetlepels mayonaise
2 el suikerpoeder;2 el suikerpoeder;2 el suikerpoeder
5 pruimen grote;5 pruimen;5 pruimen
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;10 gedroogde tomaten in olie versmarkt
4 eetl. patisseriebloem;4 eetl. patisseriebloem;4 el patisseriebloem
rode uien;rode uien;2 rode uien
8 kastanjechampignon;8 kastanjechampignons;8 kastanjechampignons
1 kleine spitskool;1 kleine spitskool;1 spitskool
0.5 kg aardappelen;500g aardappelen;500 g aardappelen
10 g verse gember;10g verse gember;10 g verse gember
70 g rode pesto (versmarkt);70g rode pesto versmarkt;70 g rode pesto
120 g verse garnalen;120g verse garnalen;120 g verse garnalen
1 eetl chilisaus facultatief;1 eetlepel chilisaus;1 eetlepel chilisaus
400 g nestnoedels;400g nestnoedels;400 g nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;0,5 verpakking rucola
2 peren Durondeau;2 peren Durondeau;2 peren Durondeau
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;550 g artisjokken met steel bokaal, 3 eetlepels olie uit verpakking
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;0.3 rol bladerdeeg vers
0.16 knolselder;0.16 knolselder;160 g knolselder
3 grote courgettes;3 grote courgettes;3 courgettes
1 el zoete chilisaus;1 el zoete chilisaus;1 el zoete chilisaus
12 lasagnevellen;12 lasagnevellen;12 lasagnevellen
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800 g varkensstoofvlees
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;35 g groene peperbolletjes
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;1 gebraden kotelet
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;2 blokjes kippenbouillon
250 g blauwe kaas;250g blauwe kaas;250 g blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;2 el kruidenkaas
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;25 g tournedos
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;265 g pure chocolade
500 g patisseriebloem;500g patisseriebloem;500 g patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;4 Turkse broodjes
1 el ras el hanout;1 el ras el hanout;1 el ras el hanout
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;1 rol bladerdeeg diepvries
345 g bloem;345g bloem;345 g bloem
500 g runderwangen;500g runderwangen;500 g runderwangen
3 limoen;3 limoen;3 limoenen
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;1 eetlepel zeewiertapenade
165 ml kokosmelk (blik);165ml kokosmelk in blik;165 ml kokosmelk
2 el yoghurt;2 el yoghurt;2 el yoghurt
8 tortillawrap;8 tortillawraps;8 tortillawraps
20 cl sinaasappellimonade;20cl sinaasappellimonade;200 ml sinaasappellimonade
6 dl cranberrydrink;6dl cranberrydrink;600 ml cranberrydrink
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;0,5 tl gedroogde chilipepervlokjes
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;500 g zoetzure saus met ananas en groenten
5 plakje chorizo;5 plakjes chorizo;5 plakken chorizo
1.5 cl droge witte wijn;1.5cl droge witte wijn;15 ml droge witte wijn
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;8 porties bladspinazie diepvries
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;340 g pastasaus Pecorino-Look
600 g gesneden prei (diepvries);600g gesneden prei diepvries;600 g prei diepvries
300 g erwten (diepvries);300g erwten diepvries;300 g diepvries erwten
1 handvol pistachenoten;1 handvol pistachenoten;100 g pistachenoten
1 kl witte peper;1 kl witte peper;1 kl witte peper
12 kiwibessen;12 kiwibessen;12 kiwibessen
5 g verse bladpeterselie;5g verse bladpeterselie;5 g bladpeterselie
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;6 sneden Ganda-ham
15 cl cider Belgische;15cl cider Belgische;150 ml Belgische cider
25 ml citroensap;25ml citroensap;25 ml citroensap
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;1 plant bieslook diepvries
32 Spar mosselen;32 Spar mosselen;32 mosselen
aluminiumfolie of carta folie;aluminiumfolie;aluminiumfolie
1 Boni Selection krab;1 Boni Selection krab;1 bak Boni Selection krab
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;3 eetlepels ahornsiroop
400 g shiitake;400g shiitake;400 g shiitake
1 verpakking feta;1 verpakking feta;1 verpakking feta
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;4 hamburgerbroodjes
300 gekookte kreeften (diepvries) ± 300 g elk;300 gekookte kreeften diepvries;90 kg gekookte kreeften diepvries
5 vel brickdeeg;5 vel brickdeeg;5 vellen brickdeeg
2 el;2 el;2 eetlepels
2 stengels witte selder;2 stengels witte selder;2 stengels witte selder
3 zoetzure augurk;3 zoetzure augurk;3 augurken zoetzuur
250 g zeezout;250g zeezout;250 g zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;2 dl witbier
takjes verse tijm;takjes verse tijm;verse tijm
6 blauwe bessen;6 blauwe bessen;6 blauwe bessen
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300 g tomatenvlees met groenten
scheutje rode wijnazijn;scheutje rode wijnazijn;rode wijnazijn
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;1 eetlepel Mexicaanse chili kruidenmix
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 eetlepels yoghurt naturel
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;1 potje knoflookpasta
8 g kandijsiroop;8g kandijsiroop;8 g kandijsiroop
zwarte olijven zonder pit;zwarte olijven zonder pit;zwarte olijven zonder pit
250 g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt;250 g gezouten spekblokjes versmarkt
0.5 kop bloem;0.5 kop bloem;0,5 kop bloem
6 honingtomaatjes;6 honingtomaatjes;6 honingtomaatjes
6 el bloemsuiker;6 el bloemsuiker;6 el bloemsuiker
2 komkommer;2 komkommers;2 komkommers
130 g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes;130 g tarwegraantjes
3.5 dl halfvolle melk;350ml halfvolle melk;3,5 dl halfvolle melk
0.33 ananassen;0.33 ananassen;1 ananas
1 plantjes verse tijm;1 plantje verse tijm;1 bos verse tijm
450 g gekookte rode biet;450g gekookte rode biet;450 g gekookte rode biet
3 sneetje toastbrood;3 sneetjes toastbrood;3 sneden toastbrood
200 g blauwgeaderde kaas;200g blauwgeaderde kaas;200 g blauwgeaderde kaas
1.2 kg gepelde tomaten (blik);1.2kg gepelde tomaten in blik;1,2 kg gepelde tomaten
1 el gedroogde tijm;1 el gedroogde tijm;1 el gedroogde tijm
200 g boekweitmeel volkoren;200g boekweitmeel volkoren;200 g boekweitmeel volkoren
4 bollen mojitosorbet (diepvries);4 bollen mojitosorbet diepvries;4 bollen mojitosorbet diepvries
6 verse fijne lasagnebladen;6 verse lasagnebladen;6 vellen lasagnebladen
4 kalfsescalopes (beenhouwerij);4 kalfsescalopes beenhouwerij;4 kalfsescalopes
2 koffielepel komijnzaadjes;2 koffielepels komijnzaadjes;2 tl komijnzaadjes
2 koffiel Provençaalse kruidenmix (molen);2 koffiel Provençaalse kruidenmix (molen);2 eetlepels Provençaalse kruidenmix
1.5 kg aardappelnootjes (diepvries);1.5kg aardappelnootjes diepvries;1,5 kg aardappelnootjes diepvries
100 g walnootpitten;100g walnootpitten;100 g walnootpitten
200 g vermicelli;200g vermicelli;200 g vermicelli
4 dl magere melk;400ml magere melk;4 dl magere melk
165 g boudoirs (lange vingers);165g boudoirs;165 g boudoirs
10 el zonnebloemolie;10 el zonnebloemolie;10 el zonnebloemolie
200 g gemengd gehakt;200g gemengd gehakt;200 g gemengd gehakt
400 g pasta naar keuze;400g pasta;400 g pasta
400 g macaroni volkoren;400g macaroni volkoren;400 g volkoren macaroni
700 ml rundbouillon;700ml rundbouillon;700 ml rundbouillon
1 takjes koriander;1 takje koriander;1 bos koriander
Romeinse slaharten;Romeinse slaharten;2 Romeinse slakoppen
verse kokosnootstukjes;verse kokosnootstukjes;kokosnootstukjes
1 l Heide Atelier vanilleroomijs;1 l Heide Atelier vanilleroomijs;1 l vanilleroomijs
1 dl droge vermouth;1 dl droge vermouth;1 dl droge vermouth
200 g Atlantische zalmsteaks (diepvries) of zalmhaasjes;200g Atlantische zalmsteaks diepvries;200 g Atlantische zalmsteaks diepvries
250 broccoli's of 400 g broccoliroosjes (diepvries);250 broccoli's;400 g broccoliroosjes diepvries
300 g Alaska-pollakfilets (diepvries);300g Alaska-pollakfilets diepvries;300 g Alaska-pollakfilets diepvries
12 Spar Frozen Selection rösti;12 stuks Spar Frozen Selection rösti;12 rösti diepvries
8 eetlepel diepvries rode vruchten;8 eetlepels diepvries rode vruchten;8 eetlepels diepvries rode vruchten
1.5 el rietsuikersiroop;1.5 el rietsuikersiroop;1,5 el rietsuikersiroop
7 dl water;700ml water;7 dl water
4 eetl. verse geitenkaas;4 eetl. verse geitenkaas;4 eetlepels verse geitenkaas
3 passievrucht;3 passievrucht;3 passievruchten
2 spieringen (beenhouwerij);2 spieringen beenhouwerij;2 spieringen
6 takjes verse rozemarijn;6 takjes verse rozemarijn;6 takjes rozemarijn
2 blaadjes kropsla;2 blaadjes kropsla;2 blaadjes kropsla
4 cigarette koekjes;4 cigarette koekjes;4 koekjes
1 slamix Mesclun;1 slamix Mesclun;1 sla mix Mesclun
0.5 miniwatermeloen;0.5 miniwatermeloen;0,5 watermeloen
1.5 dl hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink;1,5 dl hazelnoot-amandeldrink
40 g pompoenpitten;40g pompoenpitten;40 g pompoenpitten
400 g spirelli of andere korte pasta;400g spirelli;400 g spirelli
4 sneden belegen kazen;4 sneden belegen kaas;4 sneden belegen kaas
100 g rode vruchtenmix (diepvries);100g rode vruchtenmix diepvries;100 g diepvries rode vruchtenmix
100 g boekweitbloem;100g boekweitbloem;100 gram boekweitbloem
1 koppen bloem;1 kop bloem;1 kg bloem
4 stukken zeewolffilets (diepvries) van ongeveer 20 cm lang;4 stukken zeewolffilets diepvries;4 zeewolffilets diepvries ± 20 cm lang
3 eetl sojadrinks;3 eetl sojadrink;3 eetlepels sojadrink
150 g groene linzen;150g groene linzen;150 g groene linzen
230 g gerookte forelfilets;230g gerookte forelfilets;230 g gerookte forelfilets
100 g Nazareth-kaas of andere abdijkaas;100g Nazareth-kaas;100 g Nazareth-kaas
6 sneetjes ontvette gekookte hesp (beenhouwerij);6 sneetjes ontvette gekookte hesp beenhouwerij;6 sneetjes gekookte hesp
340 g witte chocolade;340g witte chocolade;340 g witte chocolade
70 g amandelpoeder;70g amandelpoeder;70 g amandelpoeder
1 g zalmfilet;1g zalmfilet;1 kg zalmfilet
680 g kikkererwten (blik);680g kikkererwten in blik;680 g kikkererwten blik
1 verpakking chop choy wok;1 verpakking chop choy wok;1 verpakking chop choy wok
10 druiven;10 druiven;10 druiven
50 g gemalen parmezaan;50g gemalen parmezaan;50 g gemalen parmezaan
4 bosjes waterkers;4 bosjes waterkers;4 bosjes waterkers
1 Turks plat brood;1 Turks plat brood;1 Turks plat brood
0.5 stengel selder;0.5 stengel selder;0,5 stengel selder
200 g witte druiven;200g witte druiven;200 g witte druiven
6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij);6 rundvlees-varkensvleeshamburgers
2 dunne lendes;2 dunne lendes;2 lendes
140 g tomatenpuree (blikje);140g tomatenpuree in blik;140 g tomatenpuree
5 g agar agar;5g agar agar;5 g agar agar
500 g verse pasta bv tagliatelle;500g verse pasta;500 g verse tagliatelle
185 g rodebietenspread;185g rodebietenspread;185 g rodebietenspread
5 cl melk;5cl melk;50 ml melk
250 g zalm;250g zalm;250 g zalm
40 g zeezout;40g zeezout;40 g zeezout
2 kl kappertjes (bokaal);2 kl kappertjes in bokaal;2 eetlepels kappertjes
200 g fajitasaus (bokaal);200g fajitasaus in bokaal;200 g fajitasaus
40 g suiker;40g suiker;40 g suiker
1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree;1,5 koffielepel tomatenpuree
800 g suiker;800g suiker;800 g suiker
16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven;16 zwarte olijven
4 gele courgettini;4 gele courgettini;4 gele courgettini
1.5 blokje kippenbouillon;1.5 blokjes kippenbouillon;1.5 blokje kippenbouillon
1 grote bos verse dille;1 grote bos verse dille;1 bos verse dille
4 kl citroensap;4kl citroensap;4 el citroensap
15 ml rijstazijn;15ml rijstazijn;15 ml rijstazijn
60 g ricotta;60g ricotta;60 g ricotta
1 koffiel dille (gedroogd);1 koffielepel dille gedroogd;1 eetlepel gedroogde dille
33 cl bruin bier naar keuze;33cl bruin bier;330 ml bruin bier
12 witte druiven;12 witte druiven;12 druiven
700 g tomaten;700g tomaten;700 g tomaten
4 kippenbrochettes exotic (beenhouwerij);4 kippenbrochettes exotic beenhouwerij;4 kippenbrochettes exotic
3 Voor  quiches met zalm en groenten:;3 Voor quiches met zalm en groenten;3 quiches met zalm en groenten
4 spruitjes;4 spruitjes;4 spruitjes
8 kerstomaat;8 kerstomaat;8 kerstomaten
100 g zongedroogde mediterrane tomaten (versmarkt);100g zongedroogde mediterrane tomaten versmarkt;100 g zongedroogde mediterrane tomaten
4 chocolademoelleuxs;4 chocolademoelleuxs;4 chocolademoelleux
200 g peultjes (diepvries);200g peultjes diepvries;200 g peultjes diepvries
4 peperkoek;4 peperkoek;4 peperkoek
6 takje platte peterselie;6 takjes platte peterselie;6 takjes peterselie
scheutje wijnazijn;scheutje wijnazijn;1 scheutje wijnazijn
2 bos kervel;2 bossen kervel;2 bossen kervel
20 suikereitjes;20 suikereitjes;20 suikereitjes
8 takjes verse tijm;8 takjes verse tijm;8 takjes tijm
0.5 bevroren banaan;0.5 bevroren banaan;0,5 bevroren banaan
0.5 kleine appel;0.5 appel;0,5 appel
2 eetlepel fijngesneden munt;2 eetlepels munt;2 eetlepel verse munt
10 grote aardperen;10 aardperen;10 aardperen
8 grote Charlotte aardappelen;8 Charlotte aardappelen;8 aardappelen
8 grote tongfilet;8 tongfilet;8 tongfilet
1.5 eetlepels geraspte gember;1.5 eetlepels gember;1,5 eetlepels geraspte gember
50 g witte broden zonder korst;50g witte broden;50 g witte brood zonder korst
1 grote rijpe avocado;1 avocado;1 avocado
3 kleine komkommers;3 komkommers;3 komkommers
12.5 cl lauw water;12.5cl water;125 ml lauw water
