input,actual,output
4 sneetjes boulotbroden dikke sneetjes,4 sneetjes boulotbrood,4 sneetjes boulotbroden
1 limoenen in partjes,1 limoen in partjes,1 limoen
60 g geraspte oude Italiaanse kaas,60g geraspte oude Italiaanse kaas,60g oude Italiaanse kaas
9 takjes munt (vers),9 takjes munt vers,9 takjes munt
2 Romeinse tomaten,2 Romeinse tomaten,2 romeinse tomaten
2 koffielepels dille,2 koffielepels dille,2 koffielepels dille
37.5 cl rode wijn merlot,37.5cl rode wijn merlot,37.5cl rode wijn merlot
1 handvol munt,1 handvol munt,1 handvol munt
0.25 kl kerrie,0.25kl kerrie,0.25 kl kerrie
150 g gemalen kokosnoot,150g gemalen kokosnoot,150g gemalen kokosnoot
400 g courgettes,400g courgettes,400g courgettes
2 preischeuten,2 preischeuten,2 preischeuten
2 verpakkingen gerookte paling,2 verpakkingen gerookte paling,2 verpakkingen gerookte paling
2 cl Grand Marnier,2cl Grand Marnier,2cl Grand Marnier
200 g noordse garnalen (diepvries),200g noordse garnalen diepvries,200g noordse garnalen diepvries
500 g kalfsescalopes (beenhouwerij),500g kalfsescalopes beenhouwerij,500g kalfsescalopes
700 g bladspinazie (diepvries),700g bladspinazie diepvries,700g diepvries bladspinazie
2 el Baileys,2 el Baileys,2 el Baileys
muffinvormpjes,muffinvormpjes,muffinvormpjes
7 eieren,7 eieren,7 eieren
40 g eendenlever (beenhouwerij),40g eendenlever beenhouwerij,40g eendenlever (beenhouwerij)
400 g gerookte Atlantische zalm (versmarkt),400g gerookte Atlantische zalm versmarkt,400g gerookte Atlantische zalm versmarkt
600 g lamsburgers (beenhouwerij),600g lamsburgers beenhouwerij,600g lamsburgers
0.5 potjes kappertjes (bokaal) liefst met steeltje,0.5 potje kappertjes in bokaal,0.5 potjes kappertjes
160 ml water,160ml water,160ml water
75 cl granaatappelsap,75cl granaatappelsap,75cl granaatappelsap
150 g snijbonen,150g snijbonen,150g snijbonen
12 cl ananassap,12cl ananassap,12cl ananassap
33 cl Rochefort 8,33cl Rochefort 8,33cl Rochefort 8
150 g gekookte ham (sneetjes),150g gekookte ham sneetjes,150g gekookte ham
Boni pizzasaus,Boni pizzasaus,Boni pizzasaus
500 g boterbonen (diepvries),500g boterbonen diepvries,500g boterbonen diepvries
8 melkchocolade mignonettes,8 melkchocolade mignonettes,8 melkchocolade mignonettes
40 g noordzeegarnalen (versmarkt),40g noordzeegarnalen versmarkt,40g noordzeegarnalen
2 el pikante tapenade (versmarkt),2 el pikante tapenade versmarkt,2 el pikante tapenade versmarkt
300 g couscous,300g couscous,300g couscous
1 kg shiitake,1kg shiitake,1 kg shiitake
2 cl gin,2cl gin,2 cl gin
1 potje gefrituurde uitjes,1 potje gefrituurde uitjes,1 potje gefrituurde uitjes
6 eetlepel appelmoes,6 eetlepels appelmoes,6 eetlepels appelmoes
2 voorgekookte kreeft,2 voorgekookte kreeft,2 kreeft
10 cl La Trappe Quadrupel,10cl La Trappe Quadrupel,10 cl La Trappe Quadrupel
4 koffiel tapenade van groene olijven (versmarkt),4 koffielepels tapenade van groene olijven versmarkt,4 koffiel tapenade van groene olijven versmarkt
1 wit toastbrood of gewoon wit brood; niet gesneden,1 wit toastbrood,1 wit brood
2 dl Troubadour Magma,2dl Troubadour Magma,2dl Troubadour Magma
120 ml kriekbier,120ml kriekbier,120ml kriekbier
2 dl visfond (bokaal),200ml visfond bokaal,2dl visfond
1 blik artisjokharten,1 blik artisjokharten,1 blik artisjokharten
8 blaadje waterkers,8 blaadjes waterkers,8 blaadjes waterkers
4 cordon bleu (beenhouwerij),4 cordon bleu beenhouwerij,4 cordon bleu
150 g lichtbruine rietsuiker,150g lichtbruine rietsuiker,150g lichtbruine rietsuiker
1 eetlepel vanillesuiker,1 eetlepel vanillesuiker,1 eetlepel vanillesuiker
6 platte oesters,6 platte oesters,6 platte oesters
40 g ananasstukjes op sap (blik),40g ananasstukjes op sap in blik,40g ananasstukjes op sap (blik)
0.5 kastanjepompoenen,0.5 kastanjepompoenen,0.5 kastanjepompoenen
400 g rundgehakt,400g rundgehakt,400g rundgehakt
1 kg penne,1kg penne,1kg penne
2 bokalen tomatenvlees met groenten (bokaal),2 bokalen tomatenvlees met groenten in bokaal,2 bokalen tomatenvlees met groenten
4 visbrochettes (diepvries),4 visbrochettes diepvries,4 visbrochettes diepvries
250 g gedroogde pruimen,250g gedroogde pruimen,250g gedroogde pruimen
4 sneetjes pandaworsten,4 sneetjes pandaworsten,4 sneetjes pandaworsten
2 Ruby chocoladetruffels,2 Ruby chocoladetruffels,2 Ruby chocoladetruffels
40 g groene olijven; ontpit,40g groene olijven; ontpit,40g groene olijven ontpit
250 g volkoren bloem,250g volkoren bloem,250g volkoren bloem
400 g schelvisfilet,400g schelvisfilet,400g schelvisfilet
1 rietsuiker naar smaak,1 rietsuiker,100 g rietsuiker
15 g passievruchtensiroop (),15g passievruchtensiroop,15g passievruchtensiroop
1.2 zakje bakpoeder,1.2 zakjes bakpoeder,1.2 zakje bakpoeder
4 eetl gojibes,4 eetl gojibes,4 eetl gojibes
0.5 kg ganzenvet,0.5kg ganzenvet,0.5kg ganzenvet
3 cl vermout,3cl vermout,3cl vermout
12 verpakking groene asperges,12 verpakkingen groene asperges,12 groene asperges
20 crackers met olijven,20 crackers met olijven,20 crackers met olijven
2 blik rode bonen,2 blikken rode bonen,2 blik rode bonen
5 kg pruimen,5kg pruimen,5 kg pruimen
1 eetlepel gemalen kaneel,1 eetlepel gemalen kaneel,1 eetlepel kaneel
400 g pasta bv farfalle of penne,400g pasta,400g pasta bv farfalle of penne
0.5 koffielepel zachte mosterd,0.5 koffielepel zachte mosterd,0.5 koffielepel zachte mosterd
10 zongedroogde tomaten (versmarkt; tomatenmarinade) met basilicum,10 zongedroogde tomaten versmarkt tomatenmarinade met basilicum,10 zongedroogde tomaten met basilicum
vers stokbrood,vers stokbrood,vers stokbrood
3 blokjes vetarme groentebouillon,3 blokjes vetarme groentebouillon,3 blokjes vetarme groentebouillon
4 stukken prei,4 stukken prei,4 stuks prei
Spar garnalen,Spar garnalen,Spar garnalen
150 g blonde basterdsuiker,150g blonde basterdsuiker,150g blonde basterdsuiker
3 varkenssneden (beenhouwerij),3 varkenssneden beenhouwerij,3 varkenssneden
50 ml Smeets extra,50ml Smeets extra,50ml Smeets extra
5 mastellen,5 mastellen,5 mastellen
ijsblokjes facultatief,ijsblokjes,ijsblokjes
4 eetlepel tomatenstukjes (blik),4 eetlepels tomatenstukjes in blik,4 eetlepels tomatenstukjes blik
12 zwarte olijf zonder pit,12 zwarte olijven zonder pit,12 zwarte olijven
8 verse korianderblaadjes,8 verse korianderblaadjes,8 verse korianderblaadjes
gegaarde witlofstronkjes,gegaarde witlofstronkjes,gegaarde witlofstronkjes
2.5 eetl. sumakpoeder,2.5 eetl. sumakpoeder,2.5 eetl. sumakpoeder
4 eetlepels muntsiroop,4 eetlepels muntsiroop,4 eetlepels muntsiroop
1 geitenkaas stronkje,1 geitenkaas stronkje,1 geitenkaas
420 g mini-krielaardappelen met marinade,420g mini-krielaardappelen met marinade,420g mini-krielaardappelen met marinade
1 kop quinoa,1 kop quinoa,1 kop quinoa
6 grote vastkokende aardappelen,6 grote vastkokende aardappelen,6 grote vastkokende aardappelen
Dr Oetker chocoladestiften wit,Dr Oetker chocoladestiften wit,Dr Oetker chocoladestiften wit
1 verpakkingen waterkers,1 verpakking waterkers,1 verpakkingen waterkers
0.25 venkels,0.25 venkels,0.25 venkels
0.5 kl kruidnagel,0.5kl kruidnagel,0.5 kl kruidnagel
3 wittewijnazijn,3 wittewijnazijn,3 wittewijnazijn
5 wittewijnazijn,5 wittewijnazijn,5 wittewijnazijn
18 halfgedroogde kerstomaten in olie (versmarkt),18 halfgedroogde kerstomaten in olie versmarkt,18 halfgedroogde kerstomaten in olie
1.5 koppen rijst,1.5 koppen rijst,1.5 koppen rijst
2 eetl. zachte mosterd,2 eetl. zachte mosterd,2 eetlepels zachte mosterd
0.5 bosjes verse peterselie,0.5 bosjes verse peterselie,0.5 bosjes verse peterselie
250 g pruimtomaten kleine,250g pruimtomaten,250g pruimtomaten kleine
bloemkolen,1 bloemkool,bloemkolen
4 Boni bio citroenen,4 Boni bio citroenen,4 Boni bio citroenen
0.5 schaaltje waterkers,0.5 schaaltje waterkers,0.5 schaaltje waterkers
5 eieren,5 eieren,5 eieren
babypeertjes (bokaal),babypeertjes (bokaal),babypeertjes (bokaal)
2 verpakkingen Braziliaanse bakpatatjes,2 verpakkingen Braziliaanse bakpatatjes,2 verpakkingen Braziliaanse bakpatatjes
15 witte asperge,15 witte asperges,15 witte asperge
6 stengel bleekselder,6 stengels bleekselder,6 stengels bleekselder
80 g mango,80g mango,80g mango
125 ml zure room,125ml zure room,125ml zure room
1 eetl olijfolie extra vierge voor de risotto,1 eetlepel olijfolie extra vierge,1 eetl olijfolie vierge extra voor de risotto
70 g fijne suiker,70g fijne suiker,70g fijne suiker
1 dl runderfond (bokaal),1 dl runderfond in bokaal,1dl runderfond
110 g halfgedroogde tomaten,110g halfgedroogde tomaten,110g halfgedroogde tomaten
2 verpakkingen pizzadeeg,2 verpakkingen pizzadeeg,2 pizzadeeg
600 g Alaska pollak (diepvries),600g Alaska pollak diepvries,600g Alaska pollak diepvries
2 belgica-appelen,2 belgica-appelen,2 belgica appels
250 g Alaska pollak (diepvries),250g Alaska pollak diepvries,250g Alaska pollak diepvries
80 g panko,80g panko,80g panko
40 g honing,40g honing,40g honing
100 ml ketjap manis,100ml ketjap manis,100ml ketjap manis
1 el zwarte peperbollen,1 el zwarte peperbollen,1 el zwarte peperbollen
300 g braambessen,300g braambessen,300g braambessen
4 klein vastkokende aardappel,4 klein vastkokende aardappels,4 klein vastkokende aardappelen
little gem (slaharten),little gem,little gem
400 g gekookte ham (sneetjes),400g gekookte ham sneetjes,400g gekookte ham
0.5 koffiel grenadine,0.5 koffielepel grenadine,0.5 koffiel grenadine
4 cl cognac,4cl cognac,4 cl cognac
10 g groene-aspergepunten,10g groene-aspergepunten,10g groene aspergepunten
100 g boter,100g boter,100g boter
20 champignons,20 champignons,20 champignons
6 smarties rode,6 smarties rode,6 rode smarties
300 g seitan blok,300g seitan blok,300g seitan blok
1 kg kalkoengebraad,1kg kalkoengebraad,1 kg kalkoen braad
200 g broccolirijst,200g broccolirijst,200g broccolirijst
1 takjes kervel,1 takje kervel,1 takjes kervel
200 g spirelli tricolore,200g spirelli tricolore,200g spirelli tricolore
4 blikje ansjovis,4 blikjes ansjovis,4 blikje ansjovis
1 kg mascarpone,1kg mascarpone,1kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos,3 eetlepels mayonaise,3 eetl mayonaise
2 el suikerpoeder,2 el suikerpoeder,2 el suikerpoeder
5 pruimen grote,5 pruimen,5 pruimen
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking,10 gedroogde tomaten versmarkt,10 gedroogde tomaten versmarkt
4 eetl. patisseriebloem,4 eetl. patisseriebloem,4 eetlepels patisseriebloem
rode uien,rode uien,1 rode uien
8 kastanjechampignon,8 kastanjechampignons,8 kastanjechampignons
1 kleine spitskool,1 kleine spitskool,1 kleine spitskool
0.5 kg aardappelen,500g aardappelen,500g aardappelen
10 g verse gember,10g verse gember,10g verse gember
70 g rode pesto (versmarkt),70g rode pesto versmarkt,70g rode pesto
120 g verse garnalen,120g verse garnalen,120g verse garnalen
1 eetl chilisaus facultatief,1 eetlepel chilisaus,1 eetl chilisaus
400 g nestnoedels,400g nestnoedels,400g nestnoedels
0.5 verpakkingen rucola,0.5 verpakkingen rucola,0.5 verpakkingen rucola
2 peren Durondeau,2 peren Durondeau,2 peren Durondeau
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking,550g artisjokken in bokaal,550g artisjokken met steel
0.3 rol bladerdeeg (vers),0.3 rol bladerdeeg vers,0.3 rol bladerdeeg vers
0.16 knolselder,0.16 knolselder,0.16 knolselder
3 grote courgettes,3 grote courgettes,3 grote courgettes
1 el zoete chilisaus,1 el zoete chilisaus,1 el zoete chilisaus
12 lasagnevellen,12 lasagnevellen,12 lasagnevellen
800 g varkensstoofvlees (beenhouwerij),800g varkensstoofvlees beenhouwerij,800g varkensstoofvlees (beenhouwerij)
35 g groenepeperbolletjes bokaal,35g groenepeperbolletjes in bokaal,35g groenepeperbolletjes bokaal
1 gebraden van koteletten (beenhouwerij),1 gebraden van koteletten beenhouwerij,1 gebraden van koteletten
2 blokjes vetarme kippenbouillon,2 blokjes vetarme kippenbouillon,2 blokjes vetarme kippenbouillon
250 g blauwe kaas,250g blauwe kaas,250g blauwe kaas
2 el kruidenkaas,2 el kruidenkaas,2 el kruidenkaas
25 g tournedos (beenhouwerij),25g tournedos beenhouwerij,25g tournedos
1 beschuit,1 beschuit,1 beschuit
265 g pure chocolade,265g pure chocolade,265g pure chocolade
500 g patisseriebloem,500g patisseriebloem,500g patisseriebloem
4 Turkse broodjes,4 Turkse broodjes,4 Turkse broodjes
1 el ras el hanout,1 el ras el hanout,1 el ras el hanout
1 rollen bladerdeeg (diepvries),1 rol bladerdeeg diepvries,1 rollen diepvries bladerdeeg
345 g bloem,345g bloem,345g bloem
500 g runderwangen,500g runderwangen,500g runderwangen
3 limoen,3 limoen,3 limoen
1 eetl. zeewiertapenade,1 eetlepel zeewiertapenade,1 eetlepel zeewiertapenade
165 ml kokosmelk (blik),165ml kokosmelk in blik,165ml kokosmelk
2 el yoghurt,2 el yoghurt,2 el yoghurt
8 tortillawrap,8 tortillawraps,8 tortillawrap
20 cl sinaasappellimonade,20cl sinaasappellimonade,20cl sinaasappellimonade
6 dl cranberrydrink,6dl cranberrydrink,6dl cranberrydrink
0.5 koffielepel gedroogde chilipepervlokjes,0.5 koffielepel gedroogde chilipepervlokjes,0.5 koffielepel gedroogde chilipepervlokjes
500 g zoetzure saus met ananas en groenten in bokaal,500g zoetzure saus met ananas en groenten in bokaal,500g zoetzure saus met ananas en groenten in bokaal
5 plakje chorizo,5 plakjes chorizo,5 plakjes chorizo
1.5 cl droge witte wijn,1.5cl droge witte wijn,1.5 cl droge witte wijn
8 porties diepvries bladspinazie,8 porties diepvries bladspinazie,8 porties diepvries bladspinazie
340 g pastasaus Pecorino-Look,340g pastasaus Pecorino-Look,340g pastasaus Pecorino-Look
600 g gesneden prei (diepvries),600g gesneden prei diepvries,600g gesneden prei diepvries
300 g erwten (diepvries),300g erwten diepvries,300g erwten diepvries
1 handvol pistachenoten,1 handvol pistachenoten,1 handvol pistachenoten
1 kl witte peper,1 kl witte peper,1 kl witte peper
12 kiwibessen,12 kiwibessen,12 kiwibessen
5 g verse bladpeterselie,5g verse bladpeterselie,5g verse bladpeterselie
6 sneetje Ganda-ham (vers),6 sneetjes Ganda-ham vers,6 sneetjes Ganda-ham vers
15 cl cider Belgische,15cl cider Belgische,15cl cider Belgische
25 ml citroensap,25ml citroensap,25ml citroensap
1 plantjes bieslook (diepvries),1 plantje bieslook diepvries,1 plantjes bieslook diepvries
