input;actual;prediction
0.5 potjes kappertjes (bokaal) liefst met steeltje;0.5 potje kappertjes in bokaal;0.5 bokaal kappertjes
160 ml water;160ml water;160 ml water
75 cl granaatappelsap;75cl granaatappelsap;750 ml granaatappelsap
150 g snijbonen;150g snijbonen;150 g snijbonen
12 cl ananassap;12cl ananassap;12 cl ananas sap
33 cl Rochefort 8;33cl Rochefort 8;33 cl Rochefort 8
150 g gekookte ham (sneetjes);150g gekookte ham sneetjes;150 g gekookte ham
Boni pizzasaus;Boni pizzasaus;1 pak Boni pizzasaus
500 g boterbonen (diepvries);500g boterbonen diepvries;500 g boterbonen
8 melkchocolade mignonettes;8 melkchocolade mignonettes;8 melkchocolade mignonettes
40 g noordzeegarnalen (versmarkt);40g noordzeegarnalen versmarkt;40 g noordzeegarnalen
2 el pikante tapenade (versmarkt);2 el pikante tapenade versmarkt;2 el tapenade
300 g couscous;300g couscous;300 g couscous
1 kg shiitake;1kg shiitake;1 kg shiitake
2 cl gin;2cl gin;2 cl gin
1 potje gefrituurde uitjes;1 potje gefrituurde uitjes;1 potje gefrituurde uitsnijdingen
6 eetlepel appelmoes;6 eetlepels appelmoes;6 eetlepels appelmoes
2 voorgekookte kreeft;2 voorgekookte kreeft;2 kreeften
10 cl La Trappe Quadrupel;10cl La Trappe Quadrupel;10 cl La Trappe Quadrupel
4 koffiel tapenade van groene olijven (versmarkt);4 koffielepels tapenade van groene olijven versmarkt;4 koffiel tapenade van groene olijven
"1 wit toastbrood of gewoon wit brood; niet gesneden";1 wit toastbrood;1 wit toastbrood
2 dl Troubadour Magma;2dl Troubadour Magma;2 dl Troubadour Magma
120 ml kriekbier;120ml kriekbier;120 ml kriekbier
2 dl visfond (bokaal);200ml visfond bokaal;200 ml visfond
1 blik artisjokharten;1 blik artisjokharten;1 blik artisjokhart
8 blaadje waterkers;8 blaadjes waterkers;8 blaadjes waterkers
4 cordon bleu (beenhouwerij);4 cordon bleu beenhouwerij;4 cordon bleu
150 g lichtbruine rietsuiker;150g lichtbruine rietsuiker;150 g lichtbruine rietsuiker
1 eetlepel vanillesuiker;1 eetlepel vanillesuiker;1 eetlepel vanillesuiker
6 platte oesters;6 platte oesters;6 platte oesters
40 g ananasstukjes op sap (blik);40g ananasstukjes op sap in blik;40 g ananasstukjes op sap
0.5 kastanjepompoenen;0.5 kastanjepompoenen;0.5 kastanjepompoen
400 g rundgehakt;400g rundgehakt;400 g rundgehakt
1 kg penne;1kg penne;1 kg penne
2 bokalen tomatenvlees met groenten (bokaal);2 bokalen tomatenvlees met groenten in bokaal;1 bokaal tomatenvlees met groenten
4 visbrochettes (diepvries);4 visbrochettes diepvries;4 visbrochettes
250 g gedroogde pruimen;250g gedroogde pruimen;250 g droge pruimen
4 sneetjes pandaworsten;4 sneetjes pandaworsten;4 pandaworsten
2 Ruby chocoladetruffels;2 Ruby chocoladetruffels;2 Ruby chocoladetruffels
"40 g groene olijven; ontpit";"40g groene olijven; ontpit";40 g groene olijven
250 g volkoren bloem;250g volkoren bloem;250 g volkoren bloem
400 g schelvisfilet;400g schelvisfilet;400 g schelvisfilet
1 rietsuiker naar smaak;1 rietsuiker;Rietsuiker
15 g passievruchtensiroop ();15g passievruchtensiroop;15 g passievruchtensiroop
1.2 zakje bakpoeder;1.2 zakjes bakpoeder;120 g bakpoeder
4 eetl gojibes;4 eetl gojibes;4 gojibes
0.5 kg ganzenvet;0.5kg ganzenvet;500 g ganzenvet
3 cl vermout;3cl vermout;3 cl vermout
12 verpakking groene asperges;12 verpakkingen groene asperges;12 verpakkingen groene asperges
20 crackers met olijven;20 crackers met olijven;20 crackers
2 blik rode bonen;2 blikken rode bonen;2 blikken rode bonen
5 kg pruimen;5kg pruimen;5 kg pruimen
1 eetlepel gemalen kaneel;1 eetlepel gemalen kaneel;1 eetlepel kaneel
400 g pasta bv farfalle of penne;400g pasta;400 g pasta
0.5 koffielepel zachte mosterd;0.5 koffielepel zachte mosterd;1 g zachte mosterd
"10 zongedroogde tomaten (versmarkt; tomatenmarinade) met basilicum";10 zongedroogde tomaten versmarkt tomatenmarinade met basilicum;10 zongedroogde tomaten
vers stokbrood;vers stokbrood;1 stuk vers stokbrood
3 blokjes vetarme groentebouillon;3 blokjes vetarme groentebouillon;3 blokjes vetarme groentebouillon
4 stukken prei;4 stukken prei;4 stukken prei
Spar garnalen;Spar garnalen;Spar garnalen
150 g blonde basterdsuiker;150g blonde basterdsuiker;150 g blonde basterdsuiker
3 varkenssneden (beenhouwerij);3 varkenssneden beenhouwerij;3 varkenssneden
50 ml Smeets extra;50ml Smeets extra;50 ml Smeets extra
5 mastellen;5 mastellen;5 mastellen
ijsblokjes facultatief;ijsblokjes;IJsblokjes
4 eetlepel tomatenstukjes (blik);4 eetlepels tomatenstukjes in blik;4 eetlepels tomatenstukjes
12 zwarte olijf zonder pit;12 zwarte olijven zonder pit;12 zwarte olijfervaarten
8 verse korianderblaadjes;8 verse korianderblaadjes;8 verse korianderblaadjes
gegaarde witlofstronkjes;gegaarde witlofstronkjes;wetlofstronkjes
2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder;250 g sumakpoeder
4 eetlepels muntsiroop;4 eetlepels muntsiroop;4 eetlepels muntsiroop
1 geitenkaas stronkje;1 geitenkaas stronkje;1 stuk geitenkaas
420 g mini-krielaardappelen met marinade;420g mini-krielaardappelen met marinade;420 g mini-krielaardappelen
1 kop quinoa;1 kop quinoa;1 kop quinoa
6 grote vastkokende aardappelen;6 grote vastkokende aardappelen;6 grote aardappelen
Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit
1 verpakkingen waterkers;1 verpakking waterkers;1 verpakking waterkers
0.25 venkels;0.25 venkels;0.25 kg venkel
0.5 kl kruidnagel;0.5kl kruidnagel;0,5 kg kruidnagel
3 wittewijnazijn;3 wittewijnazijn;3 bollen wittewijnazijn
5 wittewijnazijn;5 wittewijnazijn;5 wittewijnazijn (gram niet vermeld, omdat azijn meestal niet gewogen wordt)
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;18 kerstomaten
1.5 koppen rijst;1.5 koppen rijst;1.5 koppen rijst
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetl. zachte mosterd
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;0,5 bosjes peterselie
250 g pruimtomaten kleine;250g pruimtomaten;250 g kleine pruimtomaten
bloemkolen;1 bloemkool;(geen specificatie hoeveelheid of formaat, dus blijft bladeren)
4 Boni bio citroenen;4 Boni bio citroenen;4 Boni bio citroenen
0.5 schaaltje waterkers;0.5 schaaltje waterkers;0,5 schaaltje waterkers
5 eieren;5 eieren;5 eieren
babypeertjes (bokaal);babypeertjes (bokaal);(bokaal)
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;Bakpatatjes
15 witte asperge;15 witte asperges;15 asperges
6 stengel bleekselder;6 stengels bleekselder;6 stengels bleekselder
80 g mango;80g mango;80 g mango
125 ml zure room;125ml zure room;125 ml zure room
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;Olijfolie extra vierge
70 g fijne suiker;70g fijne suiker;70 g suiker
1 dl runderfond (bokaal);1 dl runderfond in bokaal;1 liter runderfond
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;110 g tomaten
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;2 pakkten pizzadeeg
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600 g Alaska pollak
2 belgica-appelen;2 belgica-appelen;2 Belgica-appelen
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;250 g Alaska pollak
80 g panko;80g panko;80 g panko
40 g honing;40g honing;40 g honing
100 ml ketjap manis;100ml ketjap manis;100 ml ketjap manis
1 el zwarte peperbollen;1 el zwarte peperbollen;1 el zwarte peperbollen
300 g braambessen;300g braambessen;300 g braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;4 aardappelen
little gem (slaharten);little gem;Little Gem sla
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;400 g gekookte ham
0.5 koffiel grenadine;0.5 koffielepel grenadine;0,5 kg grenadine
4 cl cognac;4cl cognac;4 cl cognac
10 g groene-aspergepunten;10g groene-aspergepunten;10 g groene aspergepunten
100 g boter;100g boter;100 g boter
20 champignons;20 champignons;20 champignons
6 smarties rode;6 smarties rode;6 smarties rode
300 g seitan blok;300g seitan blok;300 g seitan
1 kg kalkoengebraad;1kg kalkoengebraad;1 kg gekookte kool
200 g broccolirijst;200g broccolirijst;200 g rist
1 takjes kervel;1 takje kervel;1 takje kervel
200 g spirelli tricolore;200g spirelli tricolore;200 g spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;4 ansjovis blikjes
1 kg mascarpone;1kg mascarpone;1 kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;3 eetl mayonaise
2 el suikerpoeder;2 el suikerpoeder;2 el suikerpoeder
5 pruimen grote;5 pruimen;5 pruimen
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;10 gedroogde tomaten
4 eetl. patisseriebloem;4 eetl. patisseriebloem;4 eetl. patisseriebloem
rode uien;rode uien;rode uien
8 kastanjechampignon;8 kastanjechampignons;8 kastanjechampignon
1 kleine spitskool;1 kleine spitskool;1 spitskool
0.5 kg aardappelen;500g aardappelen;0.5 kg aardappelen
10 g verse gember;10g verse gember;10 g verse gember
70 g rode pesto (versmarkt);70g rode pesto versmarkt;70 g rode pesto
120 g verse garnalen;120g verse garnalen;120 g verse garnalen
1 eetl chilisaus facultatief;1 eetlepel chilisaus;1 eetlepel chilisaus
400 g nestnoedels;400g nestnoedels;400 g nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;0.5 verpakking rucola
2 peren Durondeau;2 peren Durondeau;2 peren
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;550 g artisjokken met steel
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;300 g bladerdeeg
0.16 knolselder;0.16 knolselder;0.16 knolselder
3 grote courgettes;3 grote courgettes;3 courgettes
1 el zoete chilisaus;1 el zoete chilisaus;1 el zoete chilisaus
12 lasagnevellen;12 lasagnevellen;12 lasagna-vellen
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800 g varkensstoofvlees
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;35 g groene peperbolletjes
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;1 gebraden kotelette
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;2 blokjes kippenbouillon
250 g blauwe kaas;250g blauwe kaas;250 g blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;2 el kruidenkaas
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;Tournedos 25 g
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;265 g pure chocolade
500 g patisseriebloem;500g patisseriebloem;500 g patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;4 Turkse broodjes
1 el ras el hanout;1 el ras el hanout;ras el hanout
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;1 rol bladerdeeg
345 g bloem;345g bloem;345 g bloem
500 g runderwangen;500g runderwangen;500 g runderwangen
3 limoen;3 limoen;3 limoenen
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;1 eetl. zeewiertapenade
165 ml kokosmelk (blik);165ml kokosmelk in blik;165 ml kokosmelk
2 el yoghurt;2 el yoghurt;2 el yoghurt
8 tortillawrap;8 tortillawraps;8 tortillawrap
20 cl sinaasappellimonade;20cl sinaasappellimonade;20 cl sinaasappellimonade
6 dl cranberrydrink;6dl cranberrydrink;600 ml cranberrydrink
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;1 koffielepel gedroogde chilipepervlokjes
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;500 g zoetzure saus
5 plakje chorizo;5 plakjes chorizo;5 plakjes chorizo
1.5 cl droge witte wijn;1.5cl droge witte wijn;1.5 cl droge witte wijn
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;8 porties bladspinazie diepvries
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;340 g pastasaus
600 g gesneden prei (diepvries);600g gesneden prei diepvries;600 g gesneden prei
300 g erwten (diepvries);300g erwten diepvries;300 g erwten
1 handvol pistachenoten;1 handvol pistachenoten;1 handvol pistachenoten
1 kl witte peper;1 kl witte peper;1 kl witte peper
12 kiwibessen;12 kiwibessen;12 kiwibessen
5 g verse bladpeterselie;5g verse bladpeterselie;5 g verse peterselie
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;6 stukjes Ganda-ham
15 cl cider Belgische;15cl cider Belgische;15 cl cider
25 ml citroensap;25ml citroensap;25 ml citroensap
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;1 plantje bieslook
32 Spar mosselen;32 Spar mosselen;32 mosselen
aluminiumfolie of carta folie;aluminiumfolie;aluminiumfolie
1 Boni Selection krab;1 Boni Selection krab;1 Boni Selection krab
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;3 eetl honing
400 g shiitake;400g shiitake;400 g shiitake
1 verpakking feta;1 verpakking feta;1 verpakking feta
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;4 hamburgerbroodjes
300 gekookte kreeften (diepvries) ± 300 g elk;300 gekookte kreeften diepvries;300 gekookte kreeften diepvries
5 vel brickdeeg;5 vel brickdeeg;5 vellen brikdeeg
2 el;2 el;"Ik neem aan dat het om 2 el olie gaat. Als dat niet het geval is, geef dan even een reactie.

Olantis extra mogelijkheid:
2 el olie"
2 stengels witte selder;2 stengels witte selder;2 stengels witte selder
3 zoetzure augurk;3 zoetzure augurk;1 zoetzure augurk
250 g zeezout;250g zeezout;250 g zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;2 dl Blanche de Namur
takjes verse tijm;takjes verse tijm;takjes verse tijm
6 blauwe bessen;6 blauwe bessen;6 blauwe bessen
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300 g tomatenvlees
scheutje rode wijnazijn;scheutje rode wijnazijn;1 scheutje rode wijnazijn
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;1 eetl Mexicaanse chili (kruidenmix)
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 eetl yoghurt
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;1 knoflookpasta met zonnebloemolie
8 g kandijsiroop;8g kandijsiroop;8 gram kandijsiroop
zwarte olijven zonder pit;zwarte olijven zonder pit;zwarte olijven
8 verse korianderblaadjes;8 verse korianderblaadjes;8 korianderblaadjes
gegaarde witlofstronkjes;gegaarde witlofstronkjes;witlofstronkjes
2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder;2.5 eetl. sumakpoeder
4 eetlepels muntsiroop;4 eetlepels muntsiroop;4 eetlepels munsjtroop
1 geitenkaas stronkje;1 geitenkaas stronkje;1 geitenkaas
420 g mini-krielaardappelen met marinade;420g mini-krielaardappelen met marinade;420 g mini-krielaardappelen
1 kop quinoa;1 kop quinoa;1 kop quinoa
6 grote vastkokende aardappelen;6 grote vastkokende aardappelen;6 aardappelen
Dr Oetker chocoladestiften wit;Dr Oetker chocoladestiften wit;Dr. Oetker chocoladestiften
1 verpakkingen waterkers;1 verpakking waterkers;1 verpakking waterkers
0.25 venkels;0.25 venkels;0.25 kg venkel
0.5 kl kruidnagel;0.5kl kruidnagel;0,5 kg kruidnagel
3 wittewijnazijn;3 wittewijnazijn;3 wittewijnazijn
5 wittewijnazijn;5 wittewijnazijn;5 wittewijnazijn
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;18 kerstomaten in olie
1.5 koppen rijst;1.5 koppen rijst;1.5 kg rijst
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetlepel zachte mosterd
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;0,5 bosje verse peterselie
250 g pruimtomaten kleine;250g pruimtomaten;250 g pruimtomaten
bloemkolen;1 bloemkool;bloemkolen
4 Boni bio citroenen;4 Boni bio citroenen;4 citroenen (Bio)
0.5 schaaltje waterkers;0.5 schaaltje waterkers;0.5 schaaltje waterkers
5 eieren;5 eieren;5 eieren
babypeertjes (bokaal);babypeertjes (bokaal);Babypeertjes
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;2 pakketten Braziliaanse bakpatatjes
15 witte asperge;15 witte asperges;15 asperges
6 stengel bleekselder;6 stengels bleekselder;6 stengels bleekselder
80 g mango;80g mango;80 g mango
125 ml zure room;125ml zure room;125 ml zure room
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;1 eetl olijfolie extra vierge
70 g fijne suiker;70g fijne suiker;70 g fijne suiker
1 dl runderfond (bokaal);1 dl runderfond in bokaal;1000 ml runderfond
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;110 g halvedroogde tomaten
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;2 pakketten pizzadeeg
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600 g Alaska pollock
2 belgica-appelen;2 belgica-appelen;2 Belgica-appelen
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;250 g Alaska pollak
80 g panko;80g panko;80 g panko
40 g honing;40g honing;Honing, 40 g
100 ml ketjap manis;100ml ketjap manis;100 ml ketjap manis
1 el zwarte peperbollen;1 el zwarte peperbollen;1 el zwarte peper
300 g braambessen;300g braambessen;300 g braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;4 aardappelen
little gem (slaharten);little gem;Little Gem slawart
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;400 g gekookte ham
0.5 koffiel grenadine;0.5 koffielepel grenadine;0.5 kilogram koffiel
4 cl cognac;4cl cognac;4 cl cognac
10 g groene-aspergepunten;10g groene-aspergepunten;10 g groene aspergepunten
100 g boter;100g boter;100 g boter
20 champignons;20 champignons;20 champignons
6 smarties rode;6 smarties rode;6 smarties
300 g seitan blok;300g seitan blok;300 g seitan
1 kg kalkoengebraad;1kg kalkoengebraad;1 kg kalkoen
200 g broccolirijst;200g broccolirijst;200 g broccolirijst
1 takjes kervel;1 takje kervel;1 takjes kervel
200 g spirelli tricolore;200g spirelli tricolore;200 g spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;4 blikje ansjovis
1 kg mascarpone;1kg mascarpone;1 kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;3 eetl mayonaise
2 el suikerpoeder;2 el suikerpoeder;2 el suikerpoeder
5 pruimen grote;5 pruimen;5 grote pruimen
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;10 gedroogde tomaten
4 eetl. patisseriebloem;4 eetl. patisseriebloem;400 g patisseriebloem
rode uien;rode uien;1 rode uie
8 kastanjechampignon;8 kastanjechampignons;8 kastanjechampignon
1 kleine spitskool;1 kleine spitskool;1 kleine spitskool
0.5 kg aardappelen;500g aardappelen;0.5 kg aardappelen
10 g verse gember;10g verse gember;10 g verse gember
70 g rode pesto (versmarkt);70g rode pesto versmarkt;70 g rode pesto
120 g verse garnalen;120g verse garnalen;120 g verse garnalen
1 eetl chilisaus facultatief;1 eetlepel chilisaus;1 eetl chilisaus
400 g nestnoedels;400g nestnoedels;400 g nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;0.5 verpakking rucola
2 peren Durondeau;2 peren Durondeau;2 peren
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;550 g artisjokken
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;0.3 kg bladerdeeg
0.16 knolselder;0.16 knolselder;160 g knolselder
3 grote courgettes;3 grote courgettes;3 courgettes
1 el zoete chilisaus;1 el zoete chilisaus;1 el zoete chilisaus
12 lasagnevellen;12 lasagnevellen;12 lasagnevellen
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800 g varkensstoofvlees
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;35 g groene peperbolletjes
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;1 gebraden kotelet
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon
250 g blauwe kaas;250g blauwe kaas;250 g blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;2 el kruidenkaas
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;25 g tournedos
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;265 g pure chocolade
500 g patisseriebloem;500g patisseriebloem;500 g patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;4 Turkse broodjes
1 el ras el hanout;1 el ras el hanout;1 el ras el hanout
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;1 rollen bladerdeeg
345 g bloem;345g bloem;345 g bloem
500 g runderwangen;500g runderwangen;500 g runderwangen
3 limoen;3 limoen;3 limoenen
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;1 eetl. zeewiertapenade
165 ml kokosmelk (blik);165ml kokosmelk in blik;165 ml kokosmelk
2 el yoghurt;2 el yoghurt;2 el yoghurt
8 tortillawrap;8 tortillawraps;8 tortillawrap
20 cl sinaasappellimonade;20cl sinaasappellimonade;20 cl sinaasappellimonade
6 dl cranberrydrink;6dl cranberrydrink;600 ml cranberrydrink
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel chilipepervlokjes
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;500 g zoetzure saus
5 plakje chorizo;5 plakjes chorizo;5 reepjes chorizo
1.5 cl droge witte wijn;1.5cl droge witte wijn;1.5 cl wijn
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;8 porties bladspinazie
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;340 g pastasaus
600 g gesneden prei (diepvries);600g gesneden prei diepvries;600 g gesneden prei
300 g erwten (diepvries);300g erwten diepvries;300 g erwten
1 handvol pistachenoten;1 handvol pistachenoten;1 handvol pistachenoten
1 kl witte peper;1 kl witte peper;1 kl witte peper
12 kiwibessen;12 kiwibessen;12 kiwibessen
5 g verse bladpeterselie;5g verse bladpeterselie;5 g verse peterselie
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;6 sneetjes Ganda-ham
15 cl cider Belgische;15cl cider Belgische;15 cl cider
25 ml citroensap;25ml citroensap;25 ml citroensap
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;1 pakket plantjes bieslook diepvries
32 Spar mosselen;32 Spar mosselen;32 mosselen
aluminiumfolie of carta folie;aluminiumfolie;Aluminiumfolie
1 Boni Selection krab;1 Boni Selection krab;1 krab
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;3 eetl ahornsiroop
400 g shiitake;400g shiitake;400 g shiitake
1 verpakking feta;1 verpakking feta;Feta (1 verpakking)
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;4 hamburgerbroodjes
300 gekookte kreeften (diepvries) ± 300 g elk;300 gekookte kreeften diepvries;300 gekookte kreeften diepvries
5 vel brickdeeg;5 vel brickdeeg;5 vellen brickdeeg
2 el;2 el;"Geen ingredi�ntlijstfuncsie zonder hoeveelheid en eenheid. Kroon juist op!

2 el olie"
2 stengels witte selder;2 stengels witte selder;2 stengels witte selder
